City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
DADRA AND NAGAR HAVELI(UT),26010102702,2015-16,P.S. CHINCHPADA,DADRA AND NAGAR HAVELI,DAPADA,CHINCHPADA,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102703,2015-16,P.S. NIMALPADA,DADRA AND NAGAR HAVELI,DAPADA,CHINCHPADA,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103102,2015-16,P.S.  FANASPADA,DADRA AND NAGAR HAVELI,DAPADA,PATI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103001,2015-16,C.P.S. DAPADA,DADRA AND NAGAR HAVELI,DAPADA,DAPADA,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103507,2015-16,P.S.DAVARPADA MARATHI,DADRA AND NAGAR HAVELI,AMBOLI,VELUGAM,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103801,2015-16,P.S. TINODA,DADRA AND NAGAR HAVELI,AMBOLI,TINODA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103701,2015-16,P.S. BINDRABIN,DADRA AND NAGAR HAVELI,AMBOLI,BINDRABIN,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103702,2015-16,P.S. MANIPADA,DADRA AND NAGAR HAVELI,AMBOLI,BINDRABIN,Dadar and Nagar Haveli,396230,,,,ChIJwVMG2bs25zsRgfbWPw9JCnI,B,Locality,dadra and nagar haveli,"Primary School Amboli, Manipada","Surangi, Dadra and Nagar Haveli 396240, India"
DADRA AND NAGAR HAVELI(UT),26010103002,2015-16,P.S. DAPADA ENG.MED.,DADRA AND NAGAR HAVELI,DAPADA,DAPADA,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103003,2015-16,P.S. DUNGARIPADA ,DADRA AND NAGAR HAVELI,DAPADA,DAPADA,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102403,2015-16,GOVT. HIGHER SECONDARY SCHOOL RAKHOLI,DADRA AND NAGAR HAVELI,RAKHOLI,RAKHOLI,Dadar and Nagar Haveli,396240,,,,ChIJNe9m4evK4DsRzRogpLJlOUc,B,Locality,dadra and nagar haveli,GOVT HIGHER SECONDARY SCHOOL GALONDA,"Galonda Out Post, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010103008,2015-16,GOVT. HIGHER SECONDARY SCHOOL DAPADA,DADRA AND NAGAR HAVELI,DAPADA,DAPADA,Dadar and Nagar Haveli,396240,,,,ChIJNe9m4evK4DsRzRogpLJlOUc,B,Locality,dadra and nagar haveli,GOVT HIGHER SECONDARY SCHOOL GALONDA,"Galonda Out Post, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010102902,2015-16,P.S. PATELPADA,DADRA AND NAGAR HAVELI,DAPADA,CHIKHALI,Dadar and Nagar Haveli,396240,,,,ChIJb6VNi07L4DsR_KsRGiQFNPE,B,Locality,dadra and nagar haveli,Patel Pada,"Silvassa-Vapi Rd, Samarvarni, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010102903,2015-16,P.S. JANATHIYAPADA,DADRA AND NAGAR HAVELI,DAPADA,CHIKHALI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102904,2015-16,P.S.CHIKHALI DADRIPADA,DADRA AND NAGAR HAVELI,DAPADA,CHIKHALI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102905,2015-16,P.S. SHINGADPADA,DADRA AND NAGAR HAVELI,DAPADA,CHIKHALI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103311,2015-16,GOVT. HIGH SCHOOL SURANGI,DADRA AND NAGAR HAVELI,DAPADA,SURANGI,Dadar and Nagar Haveli,396230,,,,ChIJAfG4fFzL4DsR82KDUMHNkC0,B,Locality,dadra and nagar haveli,Kendriya Vidyalaya,"Govt Higher Secondary School Campus, TokarKhada, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010104401,2015-16,P.S. MEDHA,DADRA AND NAGAR HAVELI,DUDHANI,MEDHA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010104402,2015-16,P.S. UPLAMEDHA,DADRA AND NAGAR HAVELI,DUDHANI,MEDHA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105101,2015-16,P.S. GHODBARI,DADRA AND NAGAR HAVELI,DUDHANI,GHODBARI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103301,2015-16,C.P.S. SURANGI,DADRA AND NAGAR HAVELI,DAPADA,SURANGI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103302,2015-16,P.S. JUNA PATELPADA,DADRA AND NAGAR HAVELI,DAPADA,SURANGI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103304,2015-16,P.S. KADUPADA,DADRA AND NAGAR HAVELI,DAPADA,SURANGI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103306,2015-16,P.S. VADHIYAPADA,DADRA AND NAGAR HAVELI,DAPADA,SURANGI,Dadar and Nagar Haveli,396240,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103601,2015-16,C.P.S. AMBOLI GUJ.MED.,DADRA AND NAGAR HAVELI,AMBOLI,AMBOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103602,2015-16,C.P.S.  AMBOLI MARATHI,DADRA AND NAGAR HAVELI,AMBOLI,AMBOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103603,2015-16,P.S. MANIPADA,DADRA AND NAGAR HAVELI,AMBOLI,AMBOLI,Dadar and Nagar Haveli,396240,,,,ChIJwVMG2bs25zsRgfbWPw9JCnI,B,Locality,dadra and nagar haveli,"Primary School Amboli, Manipada","Surangi, Dadra and Nagar Haveli 396240, India"
DADRA AND NAGAR HAVELI(UT),26010103604,2015-16,P.S. KHOTHARPADA,DADRA AND NAGAR HAVELI,AMBOLI,AMBOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107315,2015-16,HOLYCHILD SCHOOL SILVASSA,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJiyRSuU_L4DsRygES0HyTUh4,A,Street Address,silvassa,Holy Child School,"Samarvarni Silvassa Road, Khanvell Road, Behind Pramukh Aangan, Samarvarni, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010107205,2015-16,"SHIVPRAKASH MEMORIAL SCHOOL, SILVASSA",DADRA AND NAGAR HAVELI,KILVANI,AMLI,Dadar and Nagar Haveli,396230,,,,ChIJ7ftGYG_L4DsRcuXqqUD7-Lw,B,Locality,dadra and nagar haveli,Shiv Prakash Memorial School,"Silvassa, Dadra and Nagar Haveli, India"
DADRA AND NAGAR HAVELI(UT),26010107206,2015-16,LIONS ENGLISH SCHOOL SILVASSA,DADRA AND NAGAR HAVELI,SILVASSA,AMLI,Dadar and Nagar Haveli,396230,,,,ChIJJYqfWEDL4DsRhnZbsdOFjng,A,Street Address,silvassa,Lions English School,"Sayli Rd, Bavisa Faliya, Silvassa, Dadra and Nagar Haveli 396240, India"
DADRA AND NAGAR HAVELI(UT),26010104901,2015-16,P.S.GUNSA,DADRA AND NAGAR HAVELI,DUDHANI,GUNSA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107207,2015-16,"PRABHAT SCHOLARS' ACADEMY, SILVASSA",DADRA AND NAGAR HAVELI,SILVASSA,AMLI,Dadar and Nagar Haveli,396230,,,,ChIJtRm9dW_L4DsR_lQrVrXtZYg,A,Street Address,silvassa,"Prabhat Scholars Academy, Amli, Silvassa","Amli Ind. Estate, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010101401,2015-16,C.P.S. NAROLI,DADRA AND NAGAR HAVELI,NAROLI,NAROLI,Dadar and Nagar Haveli,396235,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010101301,2015-16,P.S. DHAPSA,DADRA AND NAGAR HAVELI,NAROLI,DHAPSA,Dadar and Nagar Haveli,396235,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103201,2015-16,P.S. KHADOLI,DADRA AND NAGAR HAVELI,AMBOLI,KHADOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105207,2015-16,SARASVATI PRIMARY SCHOOL KARCHOND,DADRA AND NAGAR HAVELI,DUDHANI,KARCHOND,Dadar and Nagar Haveli,396230,,,,ChIJ_7n3vUzL4DsRowyHjcPszzQ,B,Locality,dadra and nagar haveli,Jay Maa Saraswati Engineering,"Shop No.3, Tirupati Balaji Apartment,Tirupati Complex, Khanvel Rd, Opposite Goverment Primary High School, Samarvarni, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010105301,2015-16,P.S. KHERARBARI,DADRA AND NAGAR HAVELI,DUDHANI,KHERARBARI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105302,2015-16,P.S. PATELPADA,DADRA AND NAGAR HAVELI,DUDHANI,KHERARBARI,Dadar and Nagar Haveli,396230,,,,ChIJb6VNi07L4DsR_KsRGiQFNPE,B,Locality,dadra and nagar haveli,Patel Pada,"Silvassa-Vapi Rd, Samarvarni, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010100107,2015-16,DADRA`S  LITTLE STAR  ACADEMY,DADRA AND NAGAR HAVELI,DADRA,DADRA,Dadar and Nagar Haveli,396191,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103202,2015-16,P.S. PALADPADA,DADRA AND NAGAR HAVELI,AMBOLI,KHADOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103203,2015-16,P.S. MARAGPADA,DADRA AND NAGAR HAVELI,AMBOLI,KHADOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105901,2015-16,P.S. BAHEDPADA,DADRA AND NAGAR HAVELI,AMBOLI,KHERDI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105902,2015-16,P.S.KHERDI MARATHI,DADRA AND NAGAR HAVELI,AMBOLI,KHERDI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102107,2015-16,ALOK PUBLIC SCHOOL,DADRA AND NAGAR HAVELI,RAKHOLI,SAILY,Dadar and Nagar Haveli,396230,,,,ChIJO2Vz68Q05zsRL96VTC7I7Kk,B,Locality,dadra and nagar haveli,ALOK PUBLIC SCHOOL,"Alok city, Dadra and Nagar Haveli 396240, India"
DADRA AND NAGAR HAVELI(UT),26010101003,2015-16,P.S. KILVANI ENG. MEDIUM,DADRA AND NAGAR HAVELI,KILVANI,KILVANI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105003,2015-16,"CHRISTRAI PRIMARY SCHOOL, BILDHARI",DADRA AND NAGAR HAVELI,DUDHANI,BILDHARI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010103205,2015-16,GOLDEN CHILD ENGLISH MEDIUM KHADOLI,DADRA AND NAGAR HAVELI,AMBOLI,KHADOLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010105903,2015-16,P.S.KHUMARPADA MARATHI,DADRA AND NAGAR HAVELI,AMBOLI,KHERDI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102001,2015-16,P.S. UMARKUI,DADRA AND NAGAR HAVELI,KILVANI,UMARKUI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010102002,2015-16,P.S. BHUJADPADA,DADRA AND NAGAR HAVELI,KILVANI,UMARKUI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107323,2015-16,GOVT. HIGHER SECONDARY SCHOOL (T) ENGLISH  MEDIUM,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJz-cV3mXL4DsR9JPcvOhrau8,A,Street Address,silvassa,"Govt. High School, English Medium, Silvassa","Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010107212,2015-16,RED CROSS SPECIAL SCHOOL FOR HANDICAPPED CHILDREN ,DADRA AND NAGAR HAVELI,SILVASSA,AMLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010100108,2015-16,GOVT. HIGHER SECONDARY  SCHOOL DADRA,DADRA AND NAGAR HAVELI,DADRA,DADRA,Dadar and Nagar Haveli,396193,,,,ChIJNe9m4evK4DsRzRogpLJlOUc,A,Street Address,dadra,GOVT HIGHER SECONDARY SCHOOL GALONDA,"Galonda Out Post, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010100608,2015-16,GOVT. HIGH SCHOOL MORKHAL ,DADRA AND NAGAR HAVELI,RANDHA,MORKHAL,Dadar and Nagar Haveli,396230,,,,ChIJAfG4fFzL4DsR82KDUMHNkC0,B,Locality,dadra and nagar haveli,Kendriya Vidyalaya,"Govt Higher Secondary School Campus, TokarKhada, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010101605,2015-16,GOVT. HIGH SCHOOL KHARADPADA,DADRA AND NAGAR HAVELI,NAROLI,KHARADPADA,Dadar and Nagar Haveli,396235,,,,ChIJeRAepQTN4DsR1MyJj-C9r-s,A,Street Address,naroli,Shanti Niketan Complex,"Opposite govt high school, Bhilad road, Naroli, India"
DADRA AND NAGAR HAVELI(UT),26010105406,2015-16,P.S. GONDPADA SHELTI,DADRA AND NAGAR HAVELI,KHANVEL,SHELTI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010106408,2015-16,P.S. HEDACHIMAL CHISDA,DADRA AND NAGAR HAVELI,MANDONI,CHISDA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010106907,2015-16,P.S.. TENTMAL SINDONI,DADRA AND NAGAR HAVELI,MANDONI,SINDONI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107003,2015-16,P.S. BURUJPADA KHEDPA,DADRA AND NAGAR HAVELI,MANDONI,KHEDPA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107324,2015-16,GOVT. HIGHER SECONDARY SCHOOL (T) GUJARATI MEDIUM SILVASSA,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJz-cV3mXL4DsR9JPcvOhrau8,A,Street Address,silvassa,"Govt. High School, English Medium, Silvassa","Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010107325,2015-16,GOVT. HIGH SCHOOL DOKMARDI,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJz-cV3mXL4DsR9JPcvOhrau8,A,Street Address,silvassa,"Govt. High School, English Medium, Silvassa","Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010107326,2015-16,GOVT. HIGHER SECONDARY SCHOOL (T) HINDI MEDIUM,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJz-cV3mXL4DsR9JPcvOhrau8,A,Street Address,silvassa,"Govt. High School, English Medium, Silvassa","Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010101110,2015-16,GOVT. HIGHER SECONDARY SCHOOL GALONDA,DADRA AND NAGAR HAVELI,KILVANI,GALONDA,Dadar and Nagar Haveli,396230,,,,ChIJNe9m4evK4DsRzRogpLJlOUc,A,VILLAGE_NAME,galonda,GOVT HIGHER SECONDARY SCHOOL GALONDA,"Galonda Out Post, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010101410,2015-16,GOVT. HIGHER SECONDARY SCHOOL NAROLI,DADRA AND NAGAR HAVELI,NAROLI,NAROLI,Dadar and Nagar Haveli,396235,,,,ChIJJ965mgTN4DsRp-VMb2papPE,A,Street Address,naroli,Naroli Government Higher Secondary School,"Naroli, Dadra and Nagar Haveli 396235, India"
DADRA AND NAGAR HAVELI(UT),26010107305,2015-16,P.S. KAMLIFALIYA,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010101803,2015-16,P.S. AMBAFALIA,DADRA AND NAGAR HAVELI,RAKHOLI,SAMARVARNI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107004,2015-16,P.S. KARBHARIPADA KHEDPA,DADRA AND NAGAR HAVELI,MANDONI,KHEDPA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010101108,2015-16,P. S. VAKHARPADA GALONDA,DADRA AND NAGAR HAVELI,KILVANI,GALONDA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010100302,2015-16,ADVAITA GURUKUL,DADRA AND NAGAR HAVELI,DADRA,TIGHRA,Dadar and Nagar Haveli,396230,,,,ChIJR-dM0EHM4DsRU911JDZPfpE,A,Street Address,dadra,Advaita Gurukul,"Demini - Silvassa Rd, Opposite To Dadra Garden,Near Hotel Excellency, Tighra, Dadra, Dadra and Nagar Haveli 396193, India"
DADRA AND NAGAR HAVELI(UT),26010107336,2015-16,"THE BUDDHIST INTERNATIONAL SCHOOL, AURANGABAD/SILVASSA-91",DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107332,2015-16,MILLENNIUM ENGLISH SCHOOL,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJWearu2jL4DsRqhWHIMLtccw,A,Street Address,silvassa,Millennium English School,"Opposite Government School, Kelwani Naka, Bavisa Faliya, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010100109,2015-16,ANAND INTERNATIONAL PUBLIC SCHOOL,DADRA AND NAGAR HAVELI,DADRA,DADRA,Dadar and Nagar Haveli,396193,,,,ChIJGU0SVjzM4DsRtizu-0Kxlqk,A,Street Address,dadra,Anand International Public School,"Silvassa-Vapi Rd, Dadra, Dadra and Nagar Haveli 396193, India"
DADRA AND NAGAR HAVELI(UT),26010101402,2015-16,P.S. KAKADFALIA,DADRA AND NAGAR HAVELI,NAROLI,NAROLI,Dadar and Nagar Haveli,396235,,,,ChIJnbaEUuPM4DsRNHhReAFGyXQ,B,Locality,dadra and nagar haveli,Goverment School Kakad Faliya,"Dadra and Nagar Haveli 396235, India"
DADRA AND NAGAR HAVELI(UT),26010101403,2015-16,P.S. KOYAFALIA,DADRA AND NAGAR HAVELI,NAROLI,NAROLI,Dadar and Nagar Haveli,396325,,,,ChIJZb4y6ODM4DsRofsWAw1anPw,A,Street Address,naroli,Naroli Koyafaliya,"Naroli, Dadra and Nagar Haveli 396235, India"
DADRA AND NAGAR HAVELI(UT),26010101804,2015-16,P.S VADFALIA,DADRA AND NAGAR HAVELI,RAKHOLI,SAMARVARNI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107202,2015-16,P.S. DANDULFALIA,DADRA AND NAGAR HAVELI,SILVASSA,AMLI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010107306,2015-16,P.S. PATELFALIYA,DADRA AND NAGAR HAVELI,SILVASSA,SILVASSA,Dadar and Nagar Haveli,396230,,,,ChIJ3SqramjL4DsR8BE6dEm0SE4,A,Street Address,silvassa,Prakashchandra N. Patel- Advocate,"112,1st Floor, Perin Complex, Silvassa-Vapi Rd, Kilvani Naka,Opposite Bal Bhavan, Solanki Sadan, Bavisa Faliya, Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010105001,2015-16,P.S.BILDHARI,DADRA AND NAGAR HAVELI,DUDHANI,BILDHARI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010100103,2015-16,P.S.VAGHDHARA,DADRA AND NAGAR HAVELI,DADRA,DADRA,Dadar and Nagar Haveli,396193,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010100201,2015-16,P.S.DEMNI,DADRA AND NAGAR HAVELI,DADRA,DEMNI,Dadar and Nagar Haveli,396193,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010100301,2015-16,P.S.TIGHRA,DADRA AND NAGAR HAVELI,DADRA,TIGHRA,Dadar and Nagar Haveli,396193,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010100401,2015-16,C.P.S.VAGHCHHIPA,DADRA AND NAGAR HAVELI,DADRA,VAGHCHHIPA,Dadar and Nagar Haveli,396230,,,,ChIJ3SeRC2jL4DsRTcl07v17TC0,A,Street Address,dadra,Circuit House,"Silvassa, Dadra and Nagar Haveli 396230, India"
DADRA AND NAGAR HAVELI(UT),26010104501,2015-16,P.S.  AMBABARI,DADRA AND NAGAR HAVELI,DUDHANI,AMBABARI,Dadar and Nagar Haveli,396230,,,,,,,,,
DADRA AND NAGAR HAVELI(UT),26010104701,2015-16,P.S. KAUNCHA,DADRA AND NAGAR HAVELI,DUDHANI,KAUCHA,Dadar and Nagar Haveli,396230,,,,,,,,,
