City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
TAWANG,12010100301,2015-16,COMMUNITY CENTRE THANKA,TAWANG ,TAWANG,THANKA,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010100502,2015-16,GOVT. M.E. SCHOOL SURBI,TAWANG ,TAWANG,SURBI,Arunachal Pradesh,790104,,,,ChIJO9JseK71XDcR-pB11PBcDNY,A,Street Address,tawang,Govt Town Sec School,"Tawang., Dt Tawang, Arunachal Pradesh-790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010100902,2015-16,GOVT. RESIDENTIAL SCHOOL SHOBUR,TAWANG ,TAWANG,SHOBUR,Arunachal Pradesh,790106,,,,ChIJO9JseK71XDcR-pB11PBcDNY,A,Street Address,tawang,Govt Town Sec School,"Tawang., Dt Tawang, Arunachal Pradesh-790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010101101,2015-16,GOVT. PRY.SCHOOL KANGTENG,TAWANG ,TAWANG,KANGTENG,Arunachal Pradesh,790104,,,,ChIJwa1pZEO7XDcRiJMOBBy77kM,A,Street Address,tawang,Govt Primary School Jyotinagar,"Chariduar - Tawang Rd, Cona, Dirang, Arunachal Pradesh 790101"
TAWANG,12010101202,2015-16,GOVT. PRY. SCHOOL KHINMEY,TAWANG ,TAWANG,KHINMEY,Arunachal Pradesh,790104,,,,ChIJwa1pZEO7XDcRiJMOBBy77kM,A,Street Address,tawang,Govt Primary School Jyotinagar,"Chariduar - Tawang Rd, Cona, Dirang, Arunachal Pradesh 790101"
TAWANG,12010101301,2015-16,J.N.V. ,TAWANG ,TAWANG,CHANGBU,Arunachal Pradesh,790104,,,,ChIJ9x8rQeL0XDcR1DWuUhgB9jM,A,Street Address,tawang,"Jnv, TAWANG","P.O. Tawang District Arunachal Pradesh 790104, Tawang"
TAWANG,12010101302,2015-16,GOVT. PRY. SCHOOL CHANGBU,TAWANG ,TAWANG,CHANGBU,Arunachal Pradesh,790104,,,,ChIJwa1pZEO7XDcRiJMOBBy77kM,A,Street Address,tawang,Govt Primary School Jyotinagar,"Chariduar - Tawang Rd, Cona, Dirang, Arunachal Pradesh 790101"
TAWANG,12010101401,2015-16,G/ANI GONPA COMMUNITY SCHOOL,TAWANG ,TAWANG,GANGONG ANI GONPA,Arunachal Pradesh,790104,,,,ChIJKSnEke1nXDcRvF9m7CmSND0,A,Street Address,tawang,Jhamtse Gatsal School,"Tawang, Arunachal Pradesh 790106"
TAWANG,12010101501,2015-16,B/ANI GONPA C/CENTRE,TAWANG ,TAWANG,B/ANI GONPA,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010101601,2015-16,GOVT. PRY. SCHOOL KARGIL,TAWANG ,TAWANG,KARGIL,Arunachal Pradesh,790104,,,,ChIJwa1pZEO7XDcRiJMOBBy77kM,A,Street Address,tawang,Govt Primary School Jyotinagar,"Chariduar - Tawang Rd, Cona, Dirang, Arunachal Pradesh 790101"
TAWANG,12010101802,2015-16,"GOVT. TOWN SEC. SCHOOL, TAWANG",TAWANG ,TAWANG,TOPOVAN COLONY,Arunachal Pradesh,790104,,,,ChIJO9JseK71XDcR-pB11PBcDNY,A,Street Address,tawang,Govt Town Sec School,"Tawang., Dt Tawang, Arunachal Pradesh-790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010101901,2015-16,MOUNT GASHILA ENG. SCHOOL,TAWANG ,TAWANG,NEW MARKET,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010101902,2015-16,ENLIGHTEN LEARNER ACADEMY ,TAWANG ,TAWANG,NEW MARKET,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010102101,2015-16,GOVT.M.E. SCHOOL SHYO,TAWANG ,TAWANG,SHYO METH,Arunachal Pradesh,790104,,,,ChIJO9JseK71XDcR-pB11PBcDNY,A,Street Address,tawang,Govt Town Sec School,"Tawang., Dt Tawang, Arunachal Pradesh-790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010102501,2015-16,LITTLE STAR ENG. SCHOOL,TAWANG ,TAWANG,OLD MARKET,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010102502,2015-16,MONYUL VIDYA NIKETAN,TAWANG ,TAWANG,OLD MARKET,Arunachal Pradesh,790104,,,,ChIJcTZ1Vq31XDcRLvG-kwWgyrc,A,Street Address,tawang,Monyul Vidya Niketan,"Tawang, Arunachal Pradesh 790104"
TAWANG,12010102601,2015-16,GOVT.M.E.SCHOOL P.W.D.,TAWANG ,TAWANG,PWD COLONY,Arunachal Pradesh,790104,,,,ChIJO9JseK71XDcR-pB11PBcDNY,A,Street Address,tawang,Govt Town Sec School,"Tawang., Dt Tawang, Arunachal Pradesh-790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010102701,2015-16,GOVT. SEC. SCHOOL BOMBA,TAWANG ,TAWANG,LEMBERDUNG,Arunachal Pradesh,790104,,,,ChIJ1zYvv_n0XDcRrzSAx0aeXMk,A,Street Address,tawang,Govt. Sec. School,"Bomba, Po- Lemberdung, Dt- Tawang, Arunachal Pradesh- 790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010102702,2015-16,TAWANG PUBLIC SCHOOL,TAWANG ,TAWANG,LEMBERDUNG,Arunachal Pradesh,790104,,,,ChIJ9x8rQeL0XDcR1DWuUhgB9jM,A,Street Address,tawang,"Jnv, TAWANG","P.O. Tawang District Arunachal Pradesh 790104, Tawang"
TAWANG,12010102703,2015-16,"K.G.B.V, TAWANG",TAWANG ,TAWANG,LEMBERDUNG,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010103201,2015-16,GOVT. PRY. SCHOOL CHANGPRONG,TAWANG ,TAWANG,CHANGPRONG,Arunachal Pradesh,790104,,,,ChIJwa1pZEO7XDcRiJMOBBy77kM,A,Street Address,tawang,Govt Primary School Jyotinagar,"Chariduar - Tawang Rd, Cona, Dirang, Arunachal Pradesh 790101"
TAWANG,12010103202,2015-16,ABC STUDY CENTRE CHANGPRONG,TAWANG ,TAWANG,CHANGPRONG,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010103301,2015-16,CHOEPHELLING PUBLIC SCHOOL,TAWANG ,TAWANG,TIMELO,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010104202,2015-16,GOVT. M.E. SCHOOL KHREMETHANG,TAWANG ,TAWANG,KHREMETHANG,Arunachal Pradesh,790104,,,,ChIJO9JseK71XDcR-pB11PBcDNY,A,Street Address,tawang,Govt Town Sec School,"Tawang., Dt Tawang, Arunachal Pradesh-790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010104203,2015-16,COMMUNITY CENTRE KHREMITHANG,TAWANG ,TAWANG,KHREMETHANG,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010104401,2015-16,GOVT. SEC. SCHOOL SERU,TAWANG ,TAWANG,SERU,Arunachal Pradesh,790104,,,,ChIJ1zYvv_n0XDcRrzSAx0aeXMk,A,Street Address,tawang,Govt. Sec. School,"Bomba, Po- Lemberdung, Dt- Tawang, Arunachal Pradesh- 790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010105101,2015-16,MANJUSHREE VIDYAPITH,TAWANG ,TAWANG,URGELLING,Arunachal Pradesh,790104,,,,,,,,,
TAWANG,12010105201,2015-16,GOVT.H.R. SEC. SCHOOL TAWANG,TAWANG ,TAWANG,LEBRANG,Arunachal Pradesh,790104,,,,ChIJb6KeTKv1XDcREDr3twaXvRU,A,Street Address,tawang,Govt. Hr. Secondary School,"Tawang, Po/Ps- Tawang, Dt- Tawang, Arunachal Pradesh- 790104, Tawang, Arunachal Pradesh 790104"
TAWANG,12010105202,2015-16,GOVT. H.Q. PRY. SCHOOL TAWANG,TAWANG ,TAWANG,LEBRANG,Arunachal Pradesh,790104,,,,ChIJpciVx0i7XDcRcKXZ_crtUw0,A,Street Address,tawang,Govt Primary School Yewang,"Chariduar - Tawang Rd, Cona, Dirang, Arunachal Pradesh 790101"
