City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
NORTH WEST DELHI,7010100102,2015-16,"Rajkiya Pratibha Vikas Vidyalaya, A-10, Pocket-5, Narela, Delhi                                     ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,ChIJ45CbH3-pDTkRixCfVFBWnRk,B,Pincode,110040,Rajkiya Pratibha Vikas Vidyalaya,"Raja Harishchandra Hospital , Sector 10A, Pocket 5, Narela, Delhi, 110040, India"
NORTH WEST DELHI,7010100103,2015-16,"Govt. Sarvodaya Vidyalaya, Sect. B-4, Narela, Delhi                                                 ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100104,2015-16,"Govt. Co-ed. Sr. Sec. School, Ghoga, Delhi                                                          ",DOE,DEFAULT,001-NARELA,New Delhi,110039,,,,ChIJtY8oBAQHDTkRD96tfZFktBE,B,Pincode,110039,Govt Co-Ed Sr Sec School,"Bawana, Delhi, New Delhi, Delhi 110039, India"
NORTH WEST DELHI,7010100105,2015-16,"Govt. Sarvodaya Kanya Vidyalaya No.2, Narela, Delhi                                                 ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100106,2015-16,"Govt. Boys Sr. Sec. School (Mussadi Lal), Narela, Delhi                                             ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100107,2015-16,"Govt. Girls Sr. Sec. School, Pocket A-5&6, Narela, Delhi                                            ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100108,2015-16,"Govt. Sarvodaya Kanya Vidyalaya No.1, Narela, Delhi                                                 ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100109,2015-16,"Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi                          ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100110,2015-16,"Govt. Sarvodaya Bal Vidyalaya, Narela, Delhi                                                        ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100111,2015-16,"Govt. Boys Sr. Sec. School, Sect. A-6, Pocket-2, Narela, Delhi                                      ",DOE,DEFAULT,001-NARELA,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100201,2015-16,"Govt. Sarvodaya Bal Vidyalaya, Bankner, Hakikat Nagar, Delhi                                        ",DOE,DEFAULT,002-BANKNER,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100202,2015-16,"Govt. Girls Sr. Sec. School, Bankner, Delhi                                                         ",DOE,DEFAULT,002-BANKNER,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100301,2015-16,"Govt. Co-ed. Sec. School, C-Block, Metro Vihar Holambi Kalan, Delhi                                 ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100302,2015-16,"Govt. Co-ed. Sr. Sec. School, Holambi Kalan, Metro Vihar, A-Block, Delhi                            ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100303,2015-16,"Govt. Girls Sr. Sec. School, Block B, Holambi Kalan, Delhi                                          ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100304,2015-16,"Govt. Sarvodaya Kanya Vidyalaya, Khera Khurd Delhi                                                  ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100305,2015-16,"Govt. Sarvodaya Kanya Vidyalaya (Baba Nane Nath) , Khera Kalan Delhi                                ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100306,2015-16,"Govt. Sarvodaya Kanya Vidyalaya, Alipur Delhi                                                       ",DOE,DEFAULT,003-ALIPUR,New Delhi,110036,,,,,,,,,
NORTH WEST DELHI,7010100307,2015-16,"Govt. Co-ed. Sr. Sec. School, Holambi Kalan, Delhi                                                  ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100308,2015-16,"Govt. Boys Sr. Sec. School, Khera Khurd, Delhi                                                      ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100309,2015-16,"Govt. Boys Sr. Sec. School, Aalipur, Delhi                                                          ",DOE,DEFAULT,003-ALIPUR,New Delhi,110036,,,,,,,,,
NORTH WEST DELHI,7010100310,2015-16,"Govt. Sarvodaya Vidyalaya, Narela Bawana Road, Sannoth, Delhi                                       ",DOE,DEFAULT,003-ALIPUR,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100311,2015-16,"Govt. Boys Sr. Sec. School, Block B, Holambi Kalan, Delhi                                           ",DOE,DEFAULT,003-ALIPUR,New Delhi,110082,,,,,,,,,
NORTH WEST DELHI,7010100401,2015-16,"Govt. Co-ed. Sr. Sec. School, Singhu, Delhi                                                         ",DOE,DEFAULT,004-BAKHTAWARPUR,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100402,2015-16,"Govt. Sarvodaya Kanya Vidyalaya (BMS), Bakhtawarpur, Delhi                                          ",DOE,DEFAULT,004-BAKHTAWARPUR,New Delhi,110036,,,,,,,,,
NORTH WEST DELHI,7010100403,2015-16,"Govt. Boys Sr. Sec. School, Palla Majra, Delhi                                                      ",DOE,DEFAULT,004-BAKHTAWARPUR,New Delhi,110036,,,,,,,,,
NORTH WEST DELHI,7010100404,2015-16,"Govt. Boys Sr. Sec. School, Bakhtawarpur, Delhi                                                     ",DOE,DEFAULT,004-BAKHTAWARPUR,New Delhi,110036,,,,,,,,,
NORTH WEST DELHI,7010100405,2015-16,"Govt. Sarvodaya Kanya Vidyalaya, Tikri Khurd, Delhi                                                 ",DOE,DEFAULT,004-BAKHTAWARPUR,New Delhi,110040,,,,,,,,,
NORTH WEST DELHI,7010100406,2015-16,"Govt. Sarvodaya Bal Vidyalaya , Tikri Khurd, Delhi                                                  ",DOE,DEFAULT,004-BAKHTAWARPUR,New Delhi,110040,,,,,,,,,
