City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,
PULWAMA,1050501701,2015-16,M/S LURROW JAGIR,LOORGAM,GADPORA,LURROW JAGIR,Jammu and Kashmir,192123,,,,,,,,,,
PULWAMA,1050706551,2015-16,KING SON PUBLIC SCHOOL,PULWAMA,PRICHOO,WARD NO12,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050702429,2015-16,PS K LAJOORA,PULWAMA,PUCHAL,LAJOORA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050704852,2015-16,GOVT BPS NAGAN,PULWAMA,TALANGAM,TENGPONA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050301853,2015-16,GHS RATNIPORA,KAKAPORA,PAHOO,RATNIPORA,Jammu and Kashmir,192304,,,,,,,,,,
SHOPIAN,1151203802,2015-16,GUPS RAMNAGRI,VEHIL,RAMNAGRI,RAMNAGRI,Jammu and Kashmir,192303,,,,,,,,,,
PULWAMA,1050304351,2015-16,AL HILAL M.E.INSTT WANPORA,KAKAPORA,WANPORA,WANPORA,Jammu and Kashmir,192121,,,,,,,,,,
PULWAMA,1050301854,2015-16,VALENTEENS SCHOOL RATNIPORA,KAKAPORA,PAHOO,RATNIPORA,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1051101402,2015-16,PS GOJJER BASTI KARAMULLA,TRAL,KARAMULLA,KARAMULLA,Jammu and Kashmir,192142,,,,,,,,,,
PULWAMA,1051101501,2015-16,BPS PANNER,TRAL,KARAMULLA,PANNER,Jammu and Kashmir,192142,,,,,,,,,,
PULWAMA,1051101502,2015-16,UPS PANNER,TRAL,KARAMULLA,PANNER,Jammu and Kashmir,192142,,,,,,,,,,
PULWAMA,1051101601,2015-16,UPS MANDOORA,TRAL,TRAL-BALA,MANDOORA,Jammu and Kashmir,192142,,,,,,,,,,
PULWAMA,1050806401,2015-16,UPS ZAGIGAM,SHADIMERG,RAHMOO,ZAGIGAM,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050804401,2015-16,PS PUTRIGAM,SHADIMERG,BELLOW,PUTRIGAM,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050804402,2015-16,HS PUTRIGAM,SHADIMERG,BELLOW,PUTRIGAM,Jammu and Kashmir,192301,,,,ChIJBT9Hm1v04TgRjCtv2ptE1xM,B,Pincode,192301,Holy Blossom Public High School,"Pulwama, Jammu and Kashmir 192301",
PULWAMA,1050801401,2015-16,PS CHANAPORA,SHADIMERG,BELLOW,CHANAPORA,Jammu and Kashmir,192302,,,,,,,,,,
PULWAMA,1050801201,2015-16,GUPS BELLOW,SHADIMERG,BELLOW,BELLOW DURGUND,Jammu and Kashmir,192306,,,,,,,,,,
PULWAMA,1050705302,2015-16,GPS TAKIA-WAGAM,PULWAMA,KARIMABAD,WAGAM,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050703902,2015-16,MOONLIGHT SCHOOL PS NARWA,PULWAMA,TALANGAM,RAKHI-LAJOORA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050706152,2015-16,GOUSIA INSTT. PULWAMA,PULWAMA,PRICHOO,WARD NO8,Jammu and Kashmir,192301,,,,ChIJa_KjSWf04TgRiNEBCPazOXk,B,Locality,pulwama,Masjid Gousia,"Dalipora, Pulwama Muran Road, Chandgam, Pulwama, Jammu and Kashmir 192301",
PULWAMA,1050704803,2015-16,S.H.M.P. SCHOOL TENGPUNA,PULWAMA,TALANGAM,TENGPONA,Jammu and Kashmir,192301,,,,,,,,,,
