City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
MAMIT,15010102001,2015-16,GOVT. ZAWLNUAM P/S-III,MAMIT,ZAWLNUAM,ZAWLNUAM THUAMPUI,Mizoram,796471,,,,,,,,,
MAMIT,15010102003,2015-16,GOVT. ZAWLNUAM M/S-I,MAMIT,ZAWLNUAM,ZAWLNUAM THUAMPUI,Mizoram,796471,,,,ChIJqaqqqnv4UTcRPyn_7-IsZM4,A,Street Address,zawlnuam,Govt. Zawlnuam College,"Zawlnuam, Thuampui, Zawlnuam, Mizoram 796471, India"
MAMIT,15010102006,2015-16,"BAPTIST ENGLISH P/S, ZAWLNUAM THUAMPUI (Pvt.)",MAMIT,ZAWLNUAM,ZAWLNUAM THUAMPUI,Mizoram,796471,,,,,,,,,
MAMIT,15010102007,2015-16,"BAPTIST ENGLISH M/S, ZAWLNUAM THUAMPUI (GIA)",MAMIT,ZAWLNUAM,ZAWLNUAM THUAMPUI,Mizoram,796471,,,,,,,,,
KOLASIB,15020100112,2015-16,"CHAWNGHMINGLIANI MEMORIAL HIGH SCHOOL, KOLASIB (ADHOC)",KOLASIB,KOLASIB,KOLASIB - I,Mizoram,796081,,,,,,,,,
KOLASIB,15020100113,2015-16,"HMARVENG RMSA SECONDARY SCHOOL, KOLASIB",KOLASIB,KOLASIB,KOLASIB - I,Mizoram,796081,,,,,,,,,
KOLASIB,15020100114,2015-16,TUICHHUAHEN P/S (SSA),KOLASIB,KOLASIB,KOLASIB - I,Mizoram,796081,,,,,,,,,
KOLASIB,15020100115,2015-16,TUICHHUAHEN UPS (SSA),KOLASIB,KOLASIB,KOLASIB - I,Mizoram,796081,,,,,,,,,
KOLASIB,15020100116,2015-16,ST. ALOYSIUS SCHOOL,KOLASIB,KOLASIB,KOLASIB - I,Mizoram,796081,,,,ChIJA_uEXMYOTjcRhlfhNk1gI0A,A,Street Address,kolasib,St. John's Higher Secondary School,"Venglai, Kolasib, Mizoram 796081, India"
MAMIT,15010100712,2015-16,NEW MAMIT RMSA SECONDARY SCHOOL,MAMIT,NEW MAMIT,NEW MAMIT,Mizoram,796441,,,,ChIJv4WnKFX2TTcRKzJ-qXXk2J0,B,Locality,mamit,RMSA Secondary School New Mamit,"Aizawl-Mamit-Vanhmun-Kumarghat Rd, LUANGPAWL, Mamit, Mizoram 796441, India"
MAMIT,15010201807,2015-16,"CHHIMVENG PRESBYTERIAN SCHOOL, P/S, W.PHAILENG (Pvt.)",W.PHAILENG,W.PHAILENG,W.PHAILENG,Mizoram,796431,,,,,,,,,
