City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,,
DIMAPUR,13060302003,2015-16,DOVECOT CHRISTIAN SCHOOL,MEDZIPHEMA,CHUMUKEDIMA TOWN,SEITHEKE BASA,Nagaland,797112,,,,,,,,,,,
DIMAPUR,13060300703,2015-16,GPS OBSERVATION HOME,MEDZIPHEMA,MEDZIPHEMA,SAKEPHETO/PERIMA,Nagaland,797112,,,,,,,,,,,
DIMAPUR,13060501608,2015-16,GPS K.SACHU COLONY,DIMAPUR URBAN,DIMAPUR,LHOMITHI,Nagaland,797112,,,,ChIJWy37B4nhRTcReshu1PQ8OBE,A,Street Address,dimapur,Sachu Hall,"Sewak Colony, Dimapur, Nagaland 797113, India",,
DIMAPUR,13060505301,2015-16,GPS MISHIKITO,DIMAPUR URBAN,MISHIKITO,MISHIKITO,Nagaland,797112,,,,,,,,,,,
KOHIMA,13070402401,2015-16,GPS TEROGUNYU,TSEMINYU,DUMMY,TEROGUNYU,Nagaland,797109,,,,,,,,,,,
KOHIMA,13070700107,2015-16,G.RIO SCHOOL,KOHIMA URBAN,DUMMY,WARD 1 - HIGH SCHOOL,Nagaland,797001,,,,ChIJ3-m-BoYhRjcRaLPxExRndVw,B,Pincode,797001,G.Rio School,"High School Colony, Kohima, Nagaland 797001, India",,
KOHIMA,13070700108,2015-16,GPS HIGH SCHOOL AREA KOHIMA,KOHIMA URBAN,DUMMY,WARD 1 - HIGH SCHOOL,Nagaland,797001,,,,ChIJPTFcsQohRjcRUXLP53JTEvU,B,Pincode,797001,Baptist High,"Mission Compound, Kohima, Nagaland 797001, India",,
KOHIMA,13070700201,2015-16,BAYAVÜ HIGH SCHOOL,KOHIMA URBAN,DUMMY,WARD 2 - BAYAVÜ COLONY WARD,Nagaland,797001,,,,ChIJh0ETrJshRjcRXUYP-kHWPdY,B,Pincode,797001,de Oriental Grand Hotel Kohima,"Themezie, High School Road, National Highway 61, Upper Bayav Hill, Kohima, Nagaland 797001, India",,
MOKOKCHUNG,13030602801,2015-16,GPS NOKON,WATIYIM,DUMMY,NOKON,Nagaland,798604,,,,,,,,,,,
MOKOKCHUNG,13030601102,2015-16,GMS CHUNGTIA YIMSEN,WATIYIM,DUMMY,CHUNGTIAYIMSEN VILLAGE,Nagaland,798604,,,,,,,,,,,
MOKOKCHUNG,13030600104,2015-16,GPS WATIYIM ,WATIYIM,DUMMY,WATIYIM VILLAGE,Nagaland,798604,,,,,,,,,,,
MOKOKCHUNG,13030601201,2015-16,GPS MEDEMYIM,WATIYIM,DUMMY,MEDEMYIM VILLAGE,Nagaland,798601,,,,,,,,,,,
MON,13010800805,2015-16,"UNITED CHRISTIAN SCHOOL, NAGINIMORA",WAKCHING,DUMMY,NAGINIMORA,Nagaland,798622,,,,ChIJBWLaIwBERzcR6VwXEb47FY4,A,VILLAGE_NAME,naginimora,United Christian Higher Secondary,"Naginimora Hq, Nagaland 798622, India",,
MON,13010800806,2015-16,"ASSAM RIFLE SCHOOL, NAGINIMORA",WAKCHING,DUMMY,NAGINIMORA,Nagaland,798622,,,,ChIJj7UZKqtGRzcRIGGIOHTlifs,A,VILLAGE_NAME,naginimora,Assam Rifles High School,"Po- Naginimora, Dt- Mon, Nagaland- 798622, Mon, Nagaland 798622, India",,
MON,13010800807,2015-16,"ST. JOHN'S SCHOOL, NAGINIMORA",WAKCHING,DUMMY,NAGINIMORA,Nagaland,798622,,,,ChIJYwn3ddFfRzcRDbjLcppeUtc,C,City,mon,"St. John School, Mon","Mon, Nagaland 798621, India",,
MON,13010800808,2015-16,"AYO MEMORIAL SCHOOL, NAGINIMORA",WAKCHING,DUMMY,NAGINIMORA,Nagaland,798622,,,,,,,,,,,
MON,13010800809,2015-16,"LITTLE ANGEL SCHOOL, NAGINIMORA",WAKCHING,DUMMY,NAGINIMORA,Nagaland,798602,,,,,,,,,,,
