City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
KARAIKAL,34040608706,2015-16,VIDYASRI HS - NEDUNGADU,KARAIKAL,NEDUNGADU,NEDUNGADU,Puducherry,,,,,ChIJ26_ic5kXVToR7XrwJlIJyVs,A,Street Address,nedungadu,Don Bosco Higher Secondary School,"Nedungadu, Puducherry 609603, India"
KARAIKAL,34040601302,2015-16,GPS - KEEZHAKASAKUDYMEDU,KARAIKAL,KOVILPATHU,KEEZHA KAZAKUDY ,Puducherry,,,,,ChIJjV3JCdwQVToRPdWVHSsaiXo,B,Locality,karaikal,"GPS, Keezhakasakudymedu","Girls Hostel Ln, Karaikal, Puducherry 609605, India"
KARAIKAL,34040603403,2015-16,GPS - KARUKALACHERRY,KARAIKAL,THOMAS ARUL ST.,AKKARAI VATTAM,Puducherry,,,,,ChIJeQPOsFgRVToR1MWl1__Sxkc,B,Locality,karaikal,"GPS, Karukalacherry","Karaikal, Puducherry 609602, India"
PONDICHERRY,34020304404,2015-16,GOOD SHEPHERD HIGH SCHOOL-SENTHANATHAM,BRC-3,THONDAMANATHAM,SENTHANATHAM,Puducherry,,,,,,,,,,
KARAIKAL,34040610908,2015-16,GPS - KOTTUCHERRYMEDU,KARAIKAL,KOTTUCHERRY,KOTTUCHERRY,Puducherry,,,,,,,,,,
KARAIKAL,34040610909,2015-16,GGHS - KOTTUCHERRY,KARAIKAL,KOTTUCHERRY,KOTTUCHERRY,Puducherry,,,,,,,,,,
KARAIKAL,34040600402,2015-16,GPS - KALIKUPPAM,KARAIKAL,KOTTUCHERRY,THIRUVETTAKKUDY,Puducherry,,,,,ChIJY6FINCwXVToR9u_gdg-yYOA,A,Street Address,kottucherry,"GPS,Keezhakasakudy","Chennai - Nagapattinam Hwy, Kottucherry, Puducherry 609609, India"
KARAIKAL,34040608903,2015-16,GPS - KOTTAGAM,KARAIKAL,NEDUNGADU,PONBETHY,Puducherry,,,,,,,,,,
KARAIKAL,34040609303,2015-16,REGIONAL PERFECT  HSS - NEDUNGADU,KARAIKAL,NEDUNGADU,KURUMBAGARAM,Puducherry,,,,,ChIJzZMJApMXVToRwX9ldO414hU,A,Street Address,nedungadu,regional perfect high school,"Nedungadu, Puducherry 609603, India"
KARAIKAL,34040609304,2015-16,GPS - MATHALANGUDY,KARAIKAL,NEDUNGADU,KURUMBAGARAM,Puducherry,,,,,,,,,,
KARAIKAL,34040607002,2015-16,ANDAVAR ENGLISH HS - THIRUNALLAR,KARAIKAL,SURAKUDY,SURAKKUDY,Puducherry,,,,,,,,,,
KARAIKAL,34040607003,2015-16,GPS - SERUMAVILANGAI,KARAIKAL,SURAKUDY,SURAKKUDY,Puducherry,,,,,,,,,,
