City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
WEST SIKKIM,11020201402,2015-16,SIKKIM HOMES ACADEMY,SORENG,KAMLING SS,KAMLING ,Skkim,737121,,,,ChIJHZRvdMR_5jkR_7xXCBgB1fQ,C,City,west sikkim,Sikkim Himalayan Academy,"West Sikkim, Sikkim, India"
WEST SIKKIM,11020200402,2015-16,"DEW DROPS ACADEMY,CHAKUNG",SORENG,CHAKUNG SSS,CHAKUNG ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020212702,2015-16,KUSH HANG MEMORIAL ENGLISH SCHOOL,SORENG,THARPU SS,THARPU,Skkim,737121,,,,,,,,,
EAST SIKKIM,11040700203,2015-16,LAXMI NIKETAN PS,RAKDONG TINTEK,SAMDONG,KHESEY WARD,Skkim,737107,,,,,,,,,
EAST SIKKIM,11040700204,2015-16,DIAMOND ENG SCHOOL (PVT),RAKDONG TINTEK,SAMDONG,KHESEY WARD,Skkim,737107,,,,,,,,,
NORTH SIKKIM,11010300301,2015-16,LONGBOO PS,KABI,KALZANG GYATSO CRC,LONGBOO,Skkim,737117,,,,,,,,,
NORTH SIKKIM,11010301601,2015-16,MEN RONGONG PS,KABI,PHENSONG CRC,MENRONRONG,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010301701,2015-16,RARICK PS,KABI,PHENSONG CRC,RARIK,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010301702,2015-16,SHIPTHANG PS,KABI,PHENSONG CRC,RARIK,Skkim,737118,,,,,,,,,
NORTH SIKKIM,11010301801,2015-16,PHAMTAM JHS,KABI,PHENSONG CRC,PHAMTAM,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010301901,2015-16,MOLOM PS,KABI,PHENSONG CRC,MOLOM,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010302101,2015-16,CHAWANG PS,KABI,PHENSONG CRC,LOWER CHAWANG,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010301101,2015-16,PHENSONG SANGPAK CHLOING M. PS,KABI,PHENSONG CRC,GENSOL PHENSONG,Skkim,737118,,,,,,,,,
NORTH SIKKIM,11010302901,2015-16,TANYEK PS,KABI,PHODONG CRC,TANEK,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010302701,2015-16,RAMTHANG PS,KABI,PHODONG CRC,LOWER RONGONG,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010200301,2015-16,TASA TENGAY SEC. SCHOOL,CHUNGTHANG,CHUNGTHANG,CHUNGTHANG,Skkim,737120,,,,ChIJ9wjrnpHI5jkR8fuSCFxY9Q4,A,Street Address,chungthang,Tasa Tengay Govt Sec. School,"Chungthang, Dt-North Sikkim, Sikkim-737120, North Sikkim, Sikkim 737120, India"
NORTH SIKKIM,11010400602,2015-16,LINGTHEM UPS,PASSINGDONG,PASSINGDONG CRC,LINGTHEM T. GUMPA,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010200103,2015-16,CHATTEN PS,CHUNGTHANG,LACHEN,LACHEN,Skkim,737120,,,,ChIJZTcLd6bE5jkRAkfTdSLd03A,A,Street Address,lachen,Chatten,"Lachen, Sikkim 737120, India"
NORTH SIKKIM,11010102007,2015-16,PLAY AND LEARN NURSERY SCHOOL,MANGAN,MANGAN,ZIMCHUNG,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010102008,2015-16,IDEAL NURSURY SCHOOL,MANGAN,MANGAN,ZIMCHUNG,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010100201,2015-16,MEYONG PS,MANGAN,MANUL,MEYONG,Skkim,737116,,,,,,,,,
WEST SIKKIM,11020210501,2015-16,L SULDONG PS,SORENG,KAMLING SS, L SULDONG ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020210801,2015-16,BIRDHANG JHS,SORENG,KAMLING SS,BIRDANG,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020211301,2015-16,GHUMAUNEY PS,SORENG,GELLING SS,GHUMAUNEY ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020211701,2015-16,J N V ROTHAK,SORENG,GELLING SS,ROTHAK ,Skkim,737121,,,,ChIJNdyiPJ2C5jkR-8Hvso___Ak,A,VILLAGE_NAME,rothak,Jawahar Navodaya Vidyalaya,"Rothak, West District, SH-510, Nayabazar Legship Reshi Road, Naya Bazar, Nayabazar, Sikkim 737121, India"
WEST SIKKIM,11020212101,2015-16,GREEN VALLEY ACADEMEY,SORENG,BURIAKHOP SSSS,MIDDLE DODAK ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020212201,2015-16,DON BOSCO MALBASEY,SORENG,CHAKUNG SSS,MALBASEY ,Skkim,737121,,,,ChIJlwUgxAoq5DkRiljdxOyoRPw,B,Pincode,737121,Don Bosco School,"West Sikkim, Sikkim 737121, India"
WEST SIKKIM,11020212202,2015-16,MARIGOLD ACADEMY MALBASEY,SORENG,SORENG SSS,MALBASEY ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020212401,2015-16,BAL JYOTI ACADEMY,SORENG,BURIAKHOP SSSS,TIMBURBONG ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020212501,2015-16,SIKKIM HIMALAYAN ACADEMY,SORENG,BURIAKHOP SSSS,BURIAKHOP,Skkim,737121,,,,ChIJAQAAQC-A5jkRaxSSZfZdCOk,B,Pincode,737121,Himalayan Academy,"Po-Sorang, Dt-West Sikkin, Sikkim-737121, West Sikkin, Sikkim 737121, India"
WEST SIKKIM,11020213001,2015-16,LELIUM ACADEMY SCHOOL,SORENG,SORENG SSS,SINGLING ,Skkim,737121,,,,ChIJo3lbDDKA5jkRXA3oTcD96A4,B,Pincode,737121,Lilium Academy,"Unnamed Road, Sikkim 737121, India"
WEST SIKKIM,11020213002,2015-16,RADIANT ACADEMY SCHOOL,SORENG,SORENG SSS,SINGLING ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020208701,2015-16,KOLBONG PS,SORENG,KAMLING SS,KOLBONG ,Skkim,737121,,,,,,,,,
WEST SIKKIM,11020200601,2015-16,SORENG SSS,SORENG,SORENG SSS,SORENG ,Skkim,737121,,,,ChIJa-grhS-A5jkRa-RgK9ii_jo,A,VILLAGE_NAME,soreng,Soreng SSS Playground,"Soreng, Sikkim 737121, India"
EAST SIKKIM,11040800904,2015-16,Chandra Kumari Chettri Memorial School,DUGA,RANGPO SS,RANGPO,Skkim,737132,,,,,,,,,
NORTH SIKKIM,11010200308,2015-16,TSHUNGTHANG MONASTIC PS,CHUNGTHANG,CHUNGTHANG,CHUNGTHANG,Skkim,737120,,,,,,,,,
NORTH SIKKIM,11010200205,2015-16,BITCHU PS,CHUNGTHANG,LACHUNG,LACHUNG,Skkim,737120,,,,ChIJ4bJ72avN5jkRrYMxBVKRx_A,A,Street Address,lachung,Bichu Public School,"Unnamed Road, Lachung, Sikkim 737120, India"
NORTH SIKKIM,11010200303,2015-16,MOON LIGHT SCHOOL,CHUNGTHANG,CHUNGTHANG,CHUNGTHANG,Skkim,737120,,,,ChIJeW_byZHI5jkRjA5s0KJ-juE,A,Street Address,chungthang,Moon light school,"Chungthang, Sikkim, India"
WEST SIKKIM,11020500210,2015-16,LILLYFIELD ACADEMY,DARAMDIN,SOMBARIA SSS,SOMBARIA,Skkim,737122,,,,,,,,,
WEST SIKKIM,11020500105,2015-16,RRAGHUNANDA SAPKOTA MEMORIAL SCHOOL,DARAMDIN,DARAMDIN SS,DARAMDIN,Skkim,737122,,,,,,,,,
NORTH SIKKIM,11010102802,2015-16,EKLAVYA MODEL RESIDENTIAL SCHOOL,MANGAN,MANGSHILA,SWAYEM,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010102011,2015-16,LITTLE FLOWER NURSERY (PRY),MANGAN,MANGAN,ZIMCHUNG,Skkim,737116,,,,,,,,,
NORTH SIKKIM,11010102006,2015-16,ST. JOSEPH,MANGAN,MANGAN,ZIMCHUNG,Skkim,737116,,,,,,,,,
WEST SIKKIM,11020500601,2015-16,RUMBUK JHS,DARAMDIN,SOMBARIA SSS,RUMBUK,Skkim,737122,,,,ChIJ9feT61zV5TkRtpabdIy-2M0,C,City,west sikkim,Rumbuk JHS,"West Sikkim, Sikkim, India"
WEST SIKKIM,11020102901,2015-16,MIDDLE GYALSHING SS,GYALSHING,GYALSHING SSS,M . GYALSHING ,Skkim,737111,,,,ChIJtUPLqIKG5jkRtjRhi_VAHfU,B,Pincode,737111,Gyalshing Girls Scenior Secondary School(GSSS),"Geyzing, Sikkim 737111, India"
WEST SIKKIM,11020102101,2015-16,LANGANG SS,GYALSHING,GYALSHING SSS,LANGANG ,Skkim,737111,,,,,,,,,
WEST SIKKIM,11020202702,2015-16,ADONAI HOMES,SORENG,GELLING SS,NAYABAZAR ,Skkim,737121,,,,,,,,,
SOUTH SIKKIM,11030118501,2015-16,JNMIH BLIND SCHOOL,NAMCHI ,NAMCHI  SSS,BOOMTAR,Skkim,737126,,,,,,,,,
