City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
SOUTH TRIPURA,16020701809,2015-16,SAHA PARA JB SCHOOL,BAGAFA,BETAGA HIGH SCHOOL,LOWGANG,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020701811,2015-16,MANDADARI  PARA JB,BAGAFA,BAGAFA ASRAM H.S.,LOWGANG,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020701812,2015-16,BETAGA JB SCHOOL,BAGAFA,BETAGA HIGH SCHOOL,LOWGANG,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702602,2015-16,KANARANI R.P. J.B SCHOOL,BAGAFA,BAIKHORA H.S. SCHOOL,LAXMICHARA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020703302,2015-16,LAXMICHARA TR. COL. J.B SCHOOL,BAGAFA,BAIKHORA H.S. SCHOOL,RAIBARI,Tripura,799144,,,,,,,,,
SEPAHIJALA,16050401605,2015-16,HIRAMANTA PARA J.B SCHOOL,JAMPUIJALA,MADHYA GHANIAMARA S.B ,MADHYA GHANIAMARA,Tripura,799102,,,,,,,,,
SEPAHIJALA,16050401207,2015-16,DURLAV NARAYAN J.B SCHOOL,JAMPUIJALA,JAMPOIJALA  COL. S.B,KALAI BARI,Tripura,799102,,,,,,,,,
SEPAHIJALA,16050401905,2015-16,NIDAN PARA J.B SCHOOL,JAMPUIJALA,AMARENDRANAGGAR HIGH SC.,UJAN PATHALIAGHAT,Tripura,799103,,,,,,,,,
SOUTH TRIPURA,16020700501,2015-16,PRATI PRASAD R.P. J.B SCHOOL,BAGAFA,TWIKURMA HIGH SCHOOL,EAST KATHALIA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020700601,2015-16,PASCHIM KATHALIACHARA J.B.,BAGAFA,BAGAFA ASRAM H.S.,WEST KATHALIA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020700602,2015-16,KATHALIACHARA S.B SCHOOL,BAGAFA,TWIKURMA HIGH SCHOOL,WEST KATHALIA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020700701,2015-16,ALLOYCHARRA J.B SCHOOL,BAGAFA,TWIKURMA HIGH SCHOOL,EAST MANU,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702603,2015-16,GANIRAM PARA J.B SCHOOL,BAGAFA,BAIKHORA H.S. SCHOOL,LAXMICHARA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702604,2015-16,MATAHA PARA MODEL J.B SCHOOL,BAGAFA,BAIKHORA H.S. SCHOOL,LAXMICHARA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702605,2015-16,UTTAR BENOY PRASHAD PARA J.B.,BAGAFA,BAIKHORA H.S. SCHOOL,LAXMICHARA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702606,2015-16,LUKU HOLY CROSS UPPRYMARY SCHOOL,BAGAFA,BAIKHORA H.S. SCHOOL,LAXMICHARA,Tripura,799144,,,,,,,,,
SEPAHIJALA,16050401407,2015-16,NARAYAN PARA J.B SCHOOL,JAMPUIJALA,JAMPOIJALA  COL. S.B,KANDRAI CHHARA,Tripura,799102,,,,,,,,,
SEPAHIJALA,16050401310,2015-16,SRI GOURANGA VIDYA MANDIR HIGH,JAMPUIJALA,JAMPOIJALA  COL. S.B,JAMPOIJALA,Tripura,799102,,,,,,,,,
SEPAHIJALA,16050402307,2015-16,ST. XAVIERS (DON BOSCO) H/S SCHOOL(ENG.MED),JAMPUIJALA,WARRENG BARI S.B. SCHOOL,PATHALIAGHAT,Tripura,799103,,,,ChIJVVF3JEiQUzcRLMXMDd8qQ5g,A,VILLAGE_NAME,pathaliaghat,St. Xavier's Hr. Sec. School,"P.O. Bishramganj, St Xavier's Higher Secondary School Rd, Pathaliaghat, Tripura 799103, India"
SEPAHIJALA,16050401311,2015-16,VIVEKANANDA SISHUMANDIR J.B,JAMPUIJALA,JAMPOIJALA  COL. S.B,JAMPOIJALA,Tripura,799102,,,,,,,,,
SEPAHIJALA,16050600501,2015-16,BARKHALA  HIGH SCHOOL,KATHALIA,TARINI SUNDARI GIRLS' HIGH SCHOOL,PAHARPUR,Tripura,799181,,,,,,,,,
SEPAHIJALA,16050600502,2015-16,BARMURA S.B SCHOOL,KATHALIA,TARINI SUNDARI GIRLS' HIGH SCHOOL,PAHARPUR,Tripura,799181,,,,,,,,,
SEPAHIJALA,16050701101,2015-16,ANANDA PUR S.B SCHOOL,BOXANAGAR,KAMAL NAGAR HS SCHOOL,ANANDAPUR,Tripura,799131,,,,,,,,,
SEPAHIJALA,16050701102,2015-16,LOCHAR BARI SB SCHOOL,BOXANAGAR,KAMAL NAGAR HS SCHOOL,ANANDAPUR,Tripura,799181,,,,,,,,,
SOUTH TRIPURA,16020702607,2015-16,DESHARAI RP SB SCHOOL,BAGAFA,BAIKHORA H.S. SCHOOL,LAXMICHARA,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702701,2015-16,GOBINBARI S.B SCHOOL,BAGAFA,BAGAFA ASRAM H.S.,KALALOWGANG,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702702,2015-16,ANURAM PARA J.B SCHOOL,BAGAFA,BAGAFA ASRAM H.S.,KALALOWGANG,Tripura,799144,,,,,,,,,
SOUTH TRIPURA,16020702703,2015-16,CHAKAKUBARI S.B SCHOOL,BAGAFA,KALI PRASAD HIGH SCHOOL,KALALOWGANG,Tripura,799125,,,,,,,,,
