City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
UDHAM SINGH NAGAR,5120401301,2015-16,PS GURUKHURA,KHATIMA,GURUKHERA,GURUKHURA,Uttaranchal,262308,,,,,,,,,
UDHAM SINGH NAGAR,5120401302,2015-16,JHS GURUKHURA,KHATIMA,GURUKHERA,GURUKHURA,Uttaranchal,262308,,,,,,,,,
UDHAM SINGH NAGAR,5120401401,2015-16,PS BHARABHURIYA,KHATIMA,JHANKHAT,BHARABHURIYA,Uttaranchal,262308,,,,,,,,,
UDHAM SINGH NAGAR,5120401501,2015-16,PS SARASARIYA,KHATIMA,JHANKHAT,SARASARIYA,Uttaranchal,262301,,,,,,,,,
NAINITAL,5110103001,2015-16,G I C DHELA,RAMNAGAR,SAYALDE,TEHLA,Uttaranchal,244715,,,,,,,,,
NAINITAL,5110103002,2015-16,P S DHELA,RAMNAGAR,SAYALDE,TEHLA,Uttaranchal,244715,,,,,,,,,
NAINITAL,5110103004,2015-16,PUSHPAK J H S DHELA,RAMNAGAR,SAYALDE,TEHLA,Uttaranchal,244715,,,,,,,,,
NAINITAL,5110307808,2015-16,DON BOSCO PUBLIC SCHOOL DOGAON,BHIMTAL,JYOLIKOT,JYOLIKOT,Uttaranchal,263127,,,,,,,,,
NAINITAL,5110807602,2015-16,U P S JINOLI,BETAALGHAT,SIMLAKHA,JINOLI,Uttaranchal,263134,,,,,,,,,
NAINITAL,5110102905,2015-16,PS JAI MOHAN KANIYA,RAMNAGAR,SAYALDE,KANIYA,Uttaranchal,244715,,,,,,,,,
NAINITAL,5110102906,2015-16,EASTA CONVENT SCHOOL,RAMNAGAR,SAYALDE,KANIYA,Uttaranchal,244715,,,,ChIJzfd0afuhoDkR6uEjjqu3FzQ,C,City,nainital,St.Mary's Convent College,"Ramnee Park, Nainital, Uttarakhand 263002, India"
NAINITAL,5110102907,2015-16,JAI MOHAN H S S KANIYA,RAMNAGAR,SAYALDE,KANIYA,Uttaranchal,244715,,,,,,,,,
NAINITAL,5110105704,2015-16, H S CHANDRAWATI TIWARI GIRLS SCHOOL,RAMNAGAR,CHILKIYA,SHIVPUR BAILJURI,Uttaranchal,244715,,,,,,,,,
NAINITAL,5110110905,2015-16,H S GARDEN PUBLIC SCHOOL,RAMNAGAR,GULARHATTI,GULARHATTI,Uttaranchal,244715,,,,ChIJRS1ncnYTCjkRFE7Z6IDLfMo,B,Pincode,244715,H.S.Children's Garden Public School,"NH 121, Shankarpur Bhud, Uttarakhand 244715, India"
NAINITAL,5110115410,2015-16,U P S  HANUMANGARI KHATTA,RAMNAGAR,MAALDHAN CHOUR,VANGARAM,Uttaranchal,244713,,,,,,,,,
NAINITAL,5110703903,2015-16,J H S HARI  NAGAR AKSORA,DHARI,DHARI,AKSORA,Uttaranchal,263137,,,,,,,,,
NAINITAL,5110704001,2015-16,P S GHOTIA,DHARI,DHARI,GHOTIA,Uttaranchal,236136,,,,,,,,,
NAINITAL,5110704002,2015-16,GOVT.UPS GHOTIA,DHARI,DHARI,GHOTIA,Uttaranchal,263136,,,,,,,,,
NAINITAL,5110115101,2015-16,NEW SARASWATI VIDYA MANDIR JUNIOR HIGH SCHOOL,RAMNAGAR,THARI,LALITPUR,Uttaranchal,244716,,,,,,,,,
NAINITAL,5110115201,2015-16,PUSHPAK JHS PANJAB PUR DHELA,RAMNAGAR,SAYALDE,DHELA,Uttaranchal,244715,,,,,,,,,
UTTARKASHI ,5010107401,2015-16,PS TILOTH,BHATWARI,JOSHIYARA,TILOTH,Uttaranchal,249193,,,,,,,,,
UTTARKASHI ,5010107402,2015-16,S.V.M. JYOTIPURAM,BHATWARI,JOSHIYARA,TILOTH,Uttaranchal,249193,,,,,,,,,
UTTARKASHI ,5010107403,2015-16,M.RAJEEV K.S.S.M. TILOTH,BHATWARI,JOSHIYARA,TILOTH,Uttaranchal,249193,,,,,,,,,
UTTARKASHI ,5010109001,2015-16,PS DHANPUR,BHATWARI,MUSTIKSAUR,DHANPUR,Uttaranchal,249193,,,,,,,,,
UTTARKASHI ,5010107501,2015-16,PS JASPUR,BHATWARI,JOSHIYARA,JASPUR,Uttaranchal,249193,,,,ChIJZ8im02xICjkRRLz-Z2QTceY,A,VILLAGE_NAME,jaspur,Lala Chandra Sen Memorial Public School,"Bhagwantpur road, Near Faiz-e-Aam Inter College, Jaspur, Uttarakhand 244712, India"
UTTARKASHI ,5010107502,2015-16,UPS GIRLS JASPUR,BHATWARI,JOSHIYARA,JASPUR,Uttaranchal,249193,,,,,,,,,
NAINITAL,5110407901,2015-16,P S HERAGAJJAR,HALDWANI,HARIPUR PURNAND,HERAGAJJAR,Uttaranchal,263139,,,,,,,,,
NAINITAL,5110408001,2015-16,P S PARMA,HALDWANI,HARIPURBACHHI,PARMA,Uttaranchal,263139,,,,,,,,,
NAINITAL,5110405804,2015-16,CHILD SECRED PUBLIC SCHOOL ,HALDWANI,LALKUAN,RAJEEV NAGAR,Uttaranchal,262402,,,,ChIJgVYrmrKHoDkR7C_1l67tjz0,B,Pincode,262402,CHILD SACRED PUBLIC SCHOOL,"Gola Range, Uttarakhand 262402, India"
NAINITAL,5110210101,2015-16,DUTKANEDHAR,RAMGARH,SATBUNGA,DUTKANEDHAR,Uttaranchal,263137,,,,,,,,,
NAINITAL,5110210201,2015-16,P S SIRSA,RAMGARH,SUYALBARI,SIRSA,Uttaranchal,263135,,,,,,,,,
NAINITAL,5110210202,2015-16,PS TALLA SIRSA,RAMGARH,SUYALBARI,SIRSA,Uttaranchal,263135,,,,,,,,,
NAINITAL,5110210301,2015-16,P S CHOPRA,RAMGARH,SUYALBARI,CHOPARA,Uttaranchal,263135,,,,,,,,,
NAINITAL,5110210401,2015-16,P S BHADYUN,RAMGARH,SUYALBARI,BHADYUN,Uttaranchal,263135,,,,,,,,,
NAINITAL,5110210501,2015-16,P S NAVALI,RAMGARH,SUYALBARI,NAVLI,Uttaranchal,263135,,,,,,,,,
NAINITAL,5110410601,2015-16,P.S.N SR SER SCHOOL,HALDWANI,GUNIPUR JEEVANAND,JEETPUR,Uttaranchal,263139,,,,ChIJx_p-wR6doDkRMMcsB2CpsS4,B,Pincode,263139,whitehall school senior,"Nainital, Uttarakhand 263139, India"
CHAMOLI,5020710602,2015-16,GHS MEENG,NARAYANBAGAR,NARAYANBAGAR,MEENG,Uttaranchal,246444,,,,,,,,,
CHAMOLI,5020711501,2015-16,PS MANUR,NARAYANBAGAR,NARAYANBAGAR,MANUR,Uttaranchal,266455,,,,,,,,,
CHAMOLI,5020711301,2015-16,U.V.N. NARAYANBAGAR,NARAYANBAGAR,NARAYANBAGAR,NARAYANBAGAR,Uttaranchal,246455,,,,,,,,,
