City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
ANDAMANS,35010103903,2015-16,PRIMARY SCHOOL INVENT PUBLIC (PU),BRC- SOUTH ANDAMAN,"DIET, GARACHARMA",BATHUBASTHI,ANDAMANS,744105,,,,ChIJHU2jvkeQiDARgexcJbeDiAw,B,Pincode,744105,Manjery Primary School,"SH7, Manjery, Andaman and Nicobar Islands 744105, India"
ANDAMANS,35010101902,2015-16,GOVT PRIMARY SCHOOL MAKKA PAHAR,BRC- SOUTH ANDAMAN,GSSS RANGACHANG,CALICUT,ANDAMANS,744105,,,,,,,,,
ANDAMANS,35010102301,2015-16,GOVT PRIMARY SCHOOL TEYLARABAD,BRC- SOUTH ANDAMAN,"DIET, GARACHARMA",TEYLARABAD,ANDAMANS,744105,,,,,,,,,
ANDAMANS,35010100804,2015-16,PRIMARY SCHOOL ANANDA MARGA (PU),BRC- SOUTH ANDAMAN,GSSS MANGLUTAN,MANGLUTAN,ANDAMANS,744110,,,,,,,,,
ANDAMANS,35010300503,2015-16,GOVT PRIMARY SCHOOL ANNA NAGAR,BRC-LITTLE ANDAMAN,"GSSS MODEL, HUTBAY",HUTBAY,ANDAMANS,744207,,,,,,,,,
ANDAMANS,35010300504,2015-16,GOVT PRIMARY SCHOOL BREAK WATER,BRC-LITTLE ANDAMAN,"GSSS MODEL, HUTBAY",HUTBAY,ANDAMANS,744207,,,,,,,,,
ANDAMANS,35010300505,2015-16,GOVT PRIMARY SCHOOL CYLON BASTHI,BRC-LITTLE ANDAMAN,"GSSS MODEL, HUTBAY",HUTBAY,ANDAMANS,744207,,,,,,,,,
ANDAMANS,35010300103,2015-16,GOVT MIDDLE SCHOOL DUGONG CREEK,BRC-LITTLE ANDAMAN,GSSS RAMAKRISHNAPUR,RAMAKRISHNAPUR,ANDAMANS,744207,,,,,,,,,
MIDDLE AND NORTH ANDAMANS,35030300601,2015-16,GOVT SECONDARY SCHOOL MADHUPUR-1,BRC- DIGLIPUR,GSSS DIGLIPUR,MADHUPUR,ANDAMANS,744202,,,,ChIJcx7FYb22jzARLtHDmUkA9SE,B,Pincode,744202,Govt Secondary School,"Ram Nagar Post, Digilipur Via, North Andaman, Andaman & Nicobar Islands, North Andaman, Andaman and Nicobar Islands 744202, India"
MIDDLE AND NORTH ANDAMANS,35030301102,2015-16,GOVT PRIMARY SCHOOL SUBASHGRAM,BRC- DIGLIPUR,GSSS DIGLIPUR,SUBASHGRAM,ANDAMANS,744202,,,,,,,,,
MIDDLE AND NORTH ANDAMANS,35030301502,2015-16,MIDDLE SCHOOL SHALEM PUBLIC(PU) ,BRC- DIGLIPUR,DEO'S OFFICE DIGLIPUR,RAMAKRISHNAGRAM,ANDAMANS,744202,,,,ChIJZ6a-FbrIjzARNUh499hwYPo,B,Pincode,744202,Government Middle School,"Sitanagar, Village Rd, Andaman and Nicobar Islands 744202, India"
NICOBARS,35020202001,2015-16,GOVT PRIMARY SCHOOL BEACH DERA,NANCOWRY,CRC GSSS KAPANGA,BEACHDERA,ANDAMANS,744304,,,,,,,,,
ANDAMANS,35010201101,2015-16,GOVT PRIMARY SCHOOL KADAKACHANG,BRC- WIMBERLYGUNJ,GSSS WIMBERLYGUNJ,KADAKACHANG,ANDAMANS,744206,,,,,,,,,
ANDAMANS,35010200504,2015-16,GOVT PRIMARY SCHOOL LAMBA PAHAD,BRC- WIMBERLYGUNJ,GSSS WIMBERLYGUNJ,WIMBERLYGUNJ,ANDAMANS,744206,,,,,,,,,
ANDAMANS,35010203002,2015-16,MIDDLE SCHOOL MES OGRABRAJ,BRC- WIMBERLYGUNJ,GSSS TUSNABAD,OGRABRAJ,ANDAMANS,744103,,,,,,,,,
ANDAMANS,35010201001,2015-16,GOVT PRIMARY SCHOOL MATHURA,BRC- WIMBERLYGUNJ,GSSS WIMBERLYGUNJ,MATHURA,ANDAMANS,744206,,,,,,,,,
MIDDLE AND NORTH ANDAMANS,35030201106,2015-16,SECONDARY SCHOOL VIVEKANANDA KENDRA  ZILLA PARISHAD VIDYALAYA PAHALGAON,BRC- MAYABUNDER,GSSS PAHALGAON,TUGAPUR,ANDAMANS,744204,,,,ChIJM1uT0yuhjzARhI8rukgC9XE,A,VILLAGE_NAME,tugapur,Govt Sr Secondary School,"Pahalgaon P O Tugapur, Via Mayabunder, MiddleAndaman, Andaman & Nicobar Islands, Middle Andaman, Andaman and Nicobar Islands 744204, India"
MIDDLE AND NORTH ANDAMANS,35030201203,2015-16,GOVT SECONDARY SCHOOL CHAINPUR,BRC- MAYABUNDER,GSSS PAHALGAON,CHAINPUR,ANDAMANS,744204,,,,ChIJc3gnkceljzARvPV2pJye5TA,B,Pincode,744204,Govt Secondary School,"Karmatang-10, Mayabunder P.O, North Andaman, Andaman & Nicobar Islands, North Andaman, Andaman and Nicobar Islands 744204, India"
MIDDLE AND NORTH ANDAMANS,35030200606,2015-16,GOVT SENIOR SECONDARY SCHOOL KARMATANG-10,BRC- MAYABUNDER,GMSSS MAYABUNDER,KARMATANG,ANDAMANS,744204,,,,ChIJM1uT0yuhjzARhI8rukgC9XE,B,Pincode,744204,Govt Sr Secondary School,"Pahalgaon P O Tugapur, Via Mayabunder, MiddleAndaman, Andaman & Nicobar Islands, Middle Andaman, Andaman and Nicobar Islands 744204, India"
