City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
CHANDIGARH,4010200501,2015-16,G.M.S.S.S  15,WARD2,CLUSTER 2,SECTOR 15,HARYANA,160015,,,,ChIJ____v3M-DTkROUx5Q2pwJ1c,A,VILLAGE_NAME,sector 15,Sony India Private Limited,"Sco 32-33, Part-II, First Floor, Sector 15, Sector 15 Part 2, Patel Nagar, Gurugram, Haryana 122001, India"
CHANDIGARH,4010600208,2015-16,BAL NIKETAN MODEL SR SEC SCHOOL SEC 37 A,WARD6,CLUSTER 6,SECTOR 37,HARYANA,160036,,,,ChIJ____P8LtDzkRn5sNv2cEfBY,B,Pincode,160036,Bal Niketan Model Sr Secondary School,"Sector-37A, Opposite Water Works Office, Chandigarh, 160036, India"
CHANDIGARH,4011700201,2015-16,G.M.S.S.S 47,WARD17,CLUSTER 17,SECTOR 47,HARYANA,160047,,,,ChIJpZHYpIEiDTkR4JhTcP7Aq_M,A,VILLAGE_NAME,sector 47,S S Plaza,"Vikas Marg, Block A, Sector 47, Gurugram, Haryana 122018, India"
CHANDIGARH,4011400402,2015-16,GMSSS 26 TM ,WARD14,CLUSTER 14,TIMBER MARKET - 26,HARYANA,160019,,,,ChIJsRY5itfsDzkRIrbdXtYvZUo,B,Pincode,160019,Government Model Senior Secondary School,"Timber Market, Sector 26, Chandigarh, 160019, India"
CHANDIGARH,4010100901,2015-16,C.L AGGARWAL D.A.V MODEL SCHOOL SEC - 7,WARD1,CLUSTER 1,SECTOR 7,HARYANA,160019,,,,ChIJu_3m6DztDzkRNl6fCQLigds,A,VILLAGE_NAME,sector 7,C L Aggarwal D.A.V Model School,"Sector 7-B, Sector 7, Chandigarh, 160007, India"
CHANDIGARH,4011100201,2015-16,G.M.S.S.S 33,WARD11,CLUSTER 11 ,SECTOR 33,HARYANA,160034,,,,ChIJaw5gCGTnDDkR1B034_AjhF8,A,VILLAGE_NAME,sector 33,G.M.Traders,"Shop No: 48,1st Floor, SLF Mall,, Indraprastha Colony, Sector 33, Faridabad, Haryana 121001, India"
CHANDIGARH,4011100202,2015-16,G.M.S 33 B,WARD11,CLUSTER 11 ,SECTOR 33,HARYANA,160034,,,,ChIJUVBnYVHsDzkR-qbI7MHrDMo,A,VILLAGE_NAME,sector 33,GMS 33B,"655, Dakshin Marg, Sector 33B, Sector 33, Chandigarh, 160033, India"
CHANDIGARH,4011700203,2015-16,KENDRIYA VIDAYALA SEC 47,WARD17,CLUSTER 17,SECTOR 47,HARYANA,160047,,,,ChIJWbD0lV3sDzkRDGfm5FuurpM,A,VILLAGE_NAME,sector 47,Kendriya Vidyalaya,"Near Gurudawara, 47B, Sector 47, Chandigarh, 160047, India"
CHANDIGARH,4010900305,2015-16,ST. XAVIER SR. SEC 44 C,WARD9,CLUSTER 9,SECTOR 44,HARYANA,160047,,,,ChIJWYE90jbsDzkRe7q4YGfdJK8,B,Pincode,160047,St Xavier's Senior Secodary School,"2302, Sarovar Path, 44C, Chandigarh, 160047, India"
CHANDIGARH,4010800201,2015-16,G.M.H.S  42 B,WARD8,CLUSTER 8,SECTOR 42,HARYANA,160036,,,,,,,,,
CHANDIGARH,4011700204,2015-16,MOUNT CARMEL SCHOOL SEC 47 D,WARD17,CLUSTER 17,SECTOR 47,HARYANA,160047,,,,ChIJ16UIq2DsDzkRo23-AEuE-T4,A,VILLAGE_NAME,sector 47,Mount Carmel School,"Sector 47-B, Chandigarh, 160047, India"
CHANDIGARH,4011700401,2015-16,KENDRIYA VIDYALA 3BRD AFS,WARD17,CLUSTER 17,3 BRD AIR FORCE STATION,HARYANA,160003,,,,ChIJeayq6pHsDzkR6H6mVkc73X8,B,Pincode,160003,Kendriya Vidyalaya No. 2,"3 B R D, A F S, Chandigarh, U.T., Chandigarh, 160003, India"
