City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
DAMAN,25020102405,2015-16,GHS MOTIDAMAN,DAMAN,MUNICIPAL AREA,MOTI DAMAN (DMC),Daman and Diu,396220,,,,,,,,,
DAMAN,25020100103,2015-16,GHS PATLARA,DAMAN,DAMANWADA,PATLARA,Daman and Diu,396220,,,,,,,,,
DAMAN,25020100604,2015-16,GHS DAMANWADA,DAMAN,DAMANWADA,DAMANWADA,Daman and Diu,396220,,,,,,,,,
DIU,25010100316,2015-16,"GOVT. HIGH SCHOOL(BOYS), GHOGHLA",DIU,GHOGHLA,GHOGHLA,Daman and Diu,362540,,,,ChIJdTENX9kc4zsRWIIxx-6zGvg,B,Locality,diu,"Govt. High School (Girls), Diu","Diu, Daman and Diu 362520, India"
DIU,25010100605,2015-16,"GOVT. HIGH SCHOOL, FUDAM",DIU,GHOGHLA,FUDAM,Daman and Diu,362520,,,,ChIJAQAAu9sc4zsRktxma4Jh-Ug,A,VILLAGE_NAME,fudam,Kendriya Vidyalaya,"Govt High School Campuas, Fudam, Diu, Daman & Diu, Daman, Daman and Diu 362250, India"
DIU,25010100317,2015-16,"GOVT. HIGHER SEC. SCHOOL(G),GHOGHLA",DIU,GHOGHLA,GHOGHLA,Daman and Diu,362540,,,,ChIJLZHy_dAc4zsRjhd7O9aFj-E,B,Locality,diu,Government Higher Secondary School,"Diu, Daman and Diu 362520, India"
DIU,25010100706,2015-16,"GALAXY GUJARATI MEDIUM SCHOOL,FUDAM",DIU,GHOGHLA,FUDAM,Daman and Diu,362520,,,,ChIJ29lgoPAc4zsRPxMlHpfvA3k,A,VILLAGE_NAME,fudam,Galaxy English Medium School,"Fudam, Diu, Daman and Diu 362520, India"
DAMAN,25020100803,2015-16,GHS PARIYARI,DAMAN,DAMANWADA,PARIYARI,Daman and Diu,396220,,,,,,,,,
DAMAN,25020101305,2015-16,GHS DUNETHA,DAMAN,VARKUND,DUNETHA,Daman and Diu,396210,,,,,,,,,
DAMAN,25020101404,2015-16,GHS VARKUND,DAMAN,VARKUND,VARKUND,Daman and Diu,396210,,,,,,,,,
DAMAN,25020102615,2015-16,GHS NANIDAMAN (E/M),DAMAN,MUNICIPAL AREA,NANI DAMAN (DMC),Daman and Diu,396210,,,,,,,,,
DIU,25010101102,2015-16,GMS BUCHARWADA,DIU,BUCHARWADA,BUCHARWADA,Daman and Diu,362571,,,,,,,,,
DAMAN,25020101102,2015-16,GMS AMBAWADI,DAMAN,DAMANWADA,AMBAWADI,Daman and Diu,396220,,,,ChIJl7ArMo_Q4DsR_MPHvsnkRwI,B,Locality,daman,Ambawadi school,"Patlara, Daman, Daman and Diu 396215, India"
DAMAN,25020100401,2015-16,GPS BHAMTI,DAMAN,DAMANWADA,BHAMTI,Daman and Diu,396220,,,,,,,,,
DAMAN,25020100402,2015-16,GMS BHAMTI,DAMAN,DAMANWADA,BHAMTI,Daman and Diu,396210,,,,,,,,,
DAMAN,25020100605,2015-16,GMS DAMANWADA E/M,DAMAN,DAMANWADA,DAMANWADA,Daman and Diu,396220,,,,,,,,,
DAMAN,25020101002,2015-16,GMS THANAPARDI,DAMAN,DAMANWADA,THANAPARDI,Daman and Diu,396220,,,,,,,,,
DAMAN,25020101603,2015-16,GMS RINGANWADA E/M,DAMAN,VARKUND,RINGANWADA,Daman and Diu,396210,,,,,,,,,
DAMAN,25020101903,2015-16,GMS DEVKA,DAMAN,BHIMPORE,DEVKA,Daman and Diu,396210,,,,,,,,,
DAMAN,25020101904,2015-16,GMS DEVKA COLONY,DAMAN,BHIMPORE,DEVKA,Daman and Diu,396210,,,,,,,,,
