City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
MEWAT,6200402403,2015-16,KARIMIYA PUBLIC SCHOOL BADARPUR,NAGINA,GSSS BADARPUR,BADARPUR,Haryana,122108,,,,ChIJLcyrPQbCcjkRjzE8aFVtxwo,C,City,mewat,HSK public school,"Mewat, Haryana 122104, India"
FARIDABAD,6191608307,2015-16,"G.B.PUBLIC SCHOOL, TILPAT",FARIDABAD,GSSS TILPAT,TILPAT,Haryana,121101,,,,ChIJO6Up8nbnDDkRjMt7W4OIekg,A,VILLAGE_NAME,tilpat,G.B.PUBLIC SR. SEC. SCHOOL,"Tilpat, Faridabad, Haryana 121003, India"
MEWAT,6200106116,2015-16,ADARSH ARYA HIGH SCHOOL PINAGWAN,PUNHANA,GSSS PINAGWAN,PINAGWAN,Haryana,122508,,,,,,,,,
MAHENDRAGARH,6160501502,2015-16,GSSS BUDHWAL,NANGAL CHOUDHARY,GSSS BUDHWAL,BUDHWAL,Haryana,123023,,,,,,,,,
MAHENDRAGARH,6160309006,2015-16,"SANSKAR BHARTI KANVENT SCHOOL, PALI",MAHENDERGARH,GPS PALI,PALI,Haryana,123029,,,,,,,,,
REWARI,6170101401,2015-16,GPS BHAGWAN PUR,BAWAL,GSSS JHABUA,BHAGWAN PUR,Haryana,123501,,,,,,,,,
JHAJJAR,6150603702,2015-16,GHS NAUGAWAN,MATANHAIL,GSSS MATANHAIL,NAUGAON,Haryana,124106,,,,,,,,,
MAHENDRAGARH,6160704203,2015-16,GPS CHHITROLI,KANINA,GSSS DHANAUNDA,CHHITHROLI,Haryana,123027,,,,,,,,,
MAHENDRAGARH,6160102402,2015-16,GMS KHAIRANI,ATELI,GSSS RATTA KALAN,KHAIRANI,Haryana,123021,,,,,,,,,
JHAJJAR,6150600804,2015-16,PARAMOUNT SR.SEC.S. CHHUCHHAKWAS,MATANHAIL,GSSS GWALISON,BIR CHHUCHHAKWAS,Haryana,124102,,,,ChIJLxoyNV98DTkR9EXoebMggNc,C,City,jhajjar,PARAMOUNT SR. SEC. SCHOOL,"Jhajjar - Chhuchhakwas Road, Jhajjar, Chhuchhakwas, Haryana 124106, India"
MEWAT,6200107602,2015-16,GMS LEHARWARI,PUNHANA,GSSS JAMALGARH,LEHARWARI,Haryana,122508,,,,,,,,,
MEWAT,6200207702,2015-16,GMS GOKALPUR,F.P.JHIRKA,GSSS BADED,GOKALPUR,Haryana,122508,,,,,,,,,
FARIDABAD,6191601601,2015-16,GPS BASANTPUR,FARIDABAD,GSSS TILPAT,BASANTPUR,Haryana,121003,,,,,,,,,
FARIDABAD,6191607504,2015-16,"BHARAT PUBLIC HIGH SCHOOL, A-69, DABUA COLONY",FARIDABAD,GSSS SARAI KHAWAJA,SEHATPUR,Haryana,121001,,,,ChIJuVsv7w7nDDkR1zswEsFey9U,A,VILLAGE_NAME,sehatpur,Bharat public high school,"Surya Colony, Sehatpur, Faridabad, Haryana 121013, India"
MEWAT,6200404502,2015-16,GMS MADHI,NAGINA,GSSS BADARPUR,MADHI,Haryana,122108,,,,,,,,,
MEWAT,6200103701,2015-16,GPS GULALTA,PUNHANA,GHS SHIKRAWA,GULALTA,Haryana,122508,,,,,,,,,
MEWAT,6200204901,2015-16,GPS DHAMALA,F.P.JHIRKA,GMS DHAMALA,DHAMALA,Haryana,122104,,,,,,,,,
FARIDABAD,6191607601,2015-16,GPS SHAHBAD,FARIDABAD,GSSS TIGAON ,SHAHBAD,Haryana,121101,,,,,,,,,
FARIDABAD,6191606301,2015-16,GPS PAKHAL,FARIDABAD,GSSS PALI,PAKHAL,Haryana,121004,,,,,,,,,
MEWAT,6200504201,2015-16,GPS MANNAKI,NUH,GSSS FEROZEPUR NAMAK,MANNAKI,Haryana,122107,,,,,,,,,
FARIDABAD,6191610705,2015-16,"K.L MEHTA DAYANAND PUBLIC SCHOOL, 5K-55-56",FARIDABAD,GSSS NIT NO-1,SECTOR-18,Haryana,121001,,,,ChIJ_WBL2qjdDDkRhQGrfCpTV_A,B,Locality,faridabad,K L Mehta Dayanand Public Senior Secondary School,"K.L. Mehta Dayanand Public SR. SEC.School, Faridabad,, Sector 16, Faridabad, Haryana 121002, India"
MEWAT,6200607201,2015-16,GPS DADU,TAORU,GSSS HASANPUR,DADU,Haryana,122105,,,,,,,,,
MEWAT,6200507403,2015-16,GMS JAISINGJHPUR,NUH,GHS BIBIPUR,JAISINGHPUR,Haryana,122107,,,,,,,,,
MAHENDRAGARH,6160501503,2015-16,BALVIKASH PS BUDHWAL,NANGAL CHOUDHARY,GSSS BUDHWAL,BUDHWAL,Haryana,123023,,,,,,,,,
MAHENDRAGARH,6160801002,2015-16,GMS GUWANI,SIHMA,GSSS BACHHOD,GUWANI,Haryana,123021,,,,,,,,,
MAHENDRAGARH,6160406204,2015-16,GSSS NARNAUL,NARNAUL,GSSS NARNAUL,NARNAUL ,Haryana,123001,,,,,,,,,
MAHENDRAGARH,6160800404,2015-16,GGSSS DEROLI AHIR,SIHMA,GSSS SIHMA,DEROLI AHIR,Haryana,123028,,,,,,,,,
MAHENDRAGARH,6160702304,2015-16,GHS UNHANI,KANINA,GHS SIHORE,UNHANI,Haryana,123027,,,,,,,,,
MAHENDRAGARH,6160406307,2015-16,KLP SSS NIWAZ NAGAR,NARNAUL,GSSS NIWAZNAGAR,NIWAZ NAGAR ,Haryana,123001,,,,,,,,,
FARIDABAD,6191607207,2015-16,"NATIONAL PUBLIC SCHOOL, RAJA GARDEN, SECC-19",FARIDABAD,GSSS SARAI KHAWAJA,SARAI KHAWAJA,Haryana,121003,,,,ChIJc2IsL7zdDDkRoGzgD25DKFI,B,Locality,faridabad,National Public High School,"860, Near Raja Garden, Link Road, Sector 19, Faridabad, Haryana 121002, India"
MEWAT,6200510701,2015-16,GPS BIWAN,NUH,GHS TAPKAN,BIWAN,Haryana,122107,,,,,,,,,
MEWAT,6200102205,2015-16,BHARTIYA MIDDLE SCHOOL LOHINGA KALAN,PUNHANA,GHS LOHINGA KALAN,LOHINGA KALAN,Haryana,122508,,,,,,,,,
FARIDABAD,6191601301,2015-16,GPS BADSHAHPUR,FARIDABAD,GSSS BHUPANI,BADSHAHPUR,Haryana,121002,,,,,,,,,
FARIDABAD,6191610601,2015-16,GPS SANTOSH NAGAR,FARIDABAD,GSSS SARAI KHAWAJA,SANTOSH NAGAR,Haryana,121003,,,,,,,,,
MEWAT,6200401102,2015-16,GPS NOTKI,NAGINA,GSSS NAGINA,NOTKI,Haryana,122108,,,,,,,,,
FARIDABAD,6191612459,2015-16,VIKLANG PRATHMIC PATHSALA,FARIDABAD,GSSS SARAN,FARIDABAD CITY,Haryana,121001,,,,ChIJseHiKZ_eDDkRRHASZEWCc-I,B,Locality,faridabad,Viklang Prathmik Pathshala,"Dabua Road, Faridabad, Haryana 121001, India"
MEWAT,6200203227,2015-16,"MAA DURGA VIDYA MANDIR SCHOOL, F.P.JHIRKA",F.P.JHIRKA,GSSS F.P. JHIRKA,FEROZEPUR JHIRKA,Haryana,122104,,,,,,,,,
MEWAT,6200206601,2015-16,GPS BIHARI PUR,F.P.JHIRKA,GHS MAHUN,BAHRIPUR,Haryana,122108,,,,,,,,,
MAHENDRAGARH,6160106803,2015-16,GPS DHANI NOONI-1,ATELI,GMS NASIBPUR,NUNI KALAN,Haryana,123001,,,,,,,,,
MAHENDRAGARH,6160406505,2015-16,YADUVANSHI SHIKSHA NIKETAN,NARNAUL,GSSS PATIKRA,PATIKRA ,Haryana,123001,,,,ChIJAQAAdd-1EjkRHqPFc7QfxRM,B,Locality,narnaul,Yaduvanshi Shiksha Niketan,"Rewari Road Patikara, Distt. Mahendergarh, Narnaul, Haryana 123001, India"
REWARI,6170201801,2015-16,GPS Dedoli,JATUSANA,GSSS KANWALI,DEDOLI,Haryana,123411,,,,,,,,,
JHAJJAR,6150600103,2015-16,GHS AKHERIMADANPUR,MATANHAIL,GMSSSS LADAIN,AKHERI MADANPUR,Haryana,124146,,,,,,,,,
JHAJJAR,6150604004,2015-16,S.D.SR.SEC.SCHOOL SASRAULI,MATANHAIL,GSSS JHARLI,SASRAULI,Haryana,124106,,,,,,,,,
MAHENDRAGARH,6160308501,2015-16,GPS NIHALAWAS,MAHENDERGARH,GSSS BAIRAWAS,NIHALAWAS,Haryana,123028,,,,,,,,,
MAHENDRAGARH,6160507506,2015-16,GMS DHANI MALIAN,NANGAL CHOUDHARY,GSSS BUDHWAL,THANWAS,Haryana,123023,,,,,,,,,
FARIDABAD,6191608401,2015-16,GPS WAZIRPUR,FARIDABAD,GSSS BHUPANI,WAZIRPUR,Haryana,121002,,,,,,,,,
