City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
SOLAN,2090200402,2015-16,RANI RAI VISHVAS PUB SCH SOLAN,KUTHAR,SOLAN,,Himachal Pradesh,173212,,,,,,,,,
SOLAN,2090200401,2015-16,GSSS SOLAN (B),KUTHAR,SOLAN,,Himachal Pradesh,171312,,,,ChIJw4nF3GBhBTkRCA55HKTvMwk,A,Street Address,solan,"GSSS Chandi , Solan","Solan, Himachal Pradesh 173225, India"
SOLAN,2090723701,2015-16,PRIYA PUBLIC SCHOOL PANNER,RAMSHAHAR,GOELA,  GOELA,Himachal Pradesh,174101,,,,,,,,,
SOLAN,2090726401,2015-16,P.C. CAMBRIDGE,RAMSHAHAR,BADDI, CHAKKAN,Himachal Pradesh,173205,,,,ChIJ8c22VmL1DzkRMzZVi_xxkcU,A,Street Address,baddi,PC CAMBRIDGE SCHOOL,"Malpur Road, Housing Board Colony Phases I & II, Baddi, Himachal Pradesh 173205, India"
SOLAN,2090726402,2015-16,GOLDEN VALLEY PUBLIC SCHOOL BADDI,RAMSHAHAR,BADDI, CHAKKAN,Himachal Pradesh,173205,,,,ChIJM4D7UWL1DzkRboMBEcn2EKk,A,Street Address,baddi,Golden Valley School,"Baddi, Himachal Pradesh, India"
MANDI,2050607702,2015-16,GPS GAGGAL,BALH,GAGGAL, GAGAL,Himachal Pradesh,175006,,,,,,,,,
MANDI,2050607701,2015-16,GPS GODA,BALH,GAGGAL, GAGAL,Himachal Pradesh,175006,,,,,,,,,
MANDI,2050607703,2015-16,SVM GAGAL,BALH,GAGGAL, GAGAL,Himachal Pradesh,175006,,,,,,,,,
SOLAN,2090145001,2015-16,GPS KYAR,DHARAMPUR,RAURI, KAYAR,Himachal Pradesh,173209,,,,,,,,,
BILASPUR (H.P.),2080120601,2015-16,SVM SAI KHARSHI,SADAR,SOLDHA, KHARSI KANAITAN,Himachal Pradesh,174032,,,,,,,,,
MANDI,2051607901,2015-16,GPS DEORI DHAR,KARSOG-2,SHAKRA, MAROLA,Himachal Pradesh,175009,,,,,,,,,
MANDI,2050202001,2015-16,GPS MASHORA ,SADAR-2,PALSEHAR, MASHORA,Himachal Pradesh,175121,,,,,,,,,
SHIMLA,2110307801,2015-16,MODERN P.S. MEHA,DEHA,NERI, MEHA,Himachal Pradesh,171220,,,,,,,,,
KINNAUR,2120300104,2015-16,G.P.S. RIBBA KHAS,POOH,RIBBA, RIBBA,Himachal Pradesh,172116,,,,,,,,,
KINNAUR,2120300101,2015-16,S.V.M. RIBBA,POOH,RIBBA, RIBBA,Himachal Pradesh,172116,,,,,,,,,
KINNAUR,2120300103,2015-16,C.G.P.S. RIBBA,POOH,RIBBA, RIBBA,Himachal Pradesh,172116,,,,,,,,,
KINNAUR,2120300102,2015-16,G.S.S.S. RIBBA,POOH,RIBBA, RIBBA,Himachal Pradesh,172116,,,,,,,,,
SOLAN,2090163201,2015-16,ANAND SCHOOL PARWANOO,DHARAMPUR,BAROTI, SECTOR 2 PARWANOO,Himachal Pradesh,173220,,,,ChIJ_8wIVvuODzkR2R6RqbHnrgM,B,Pincode,173220,Anand School,"30, Sector 1, Parwanoo, Himachal Pradesh 173220, India"
SHIMLA,2111702402,2015-16,GMS SHILLI MEHLA,THEOG,DHARECH, SHILLI MEHLA,Himachal Pradesh,171209,,,,,,,,,
SHIMLA,2111702401,2015-16,GPS SHILLI MEHLA,THEOG,DHARECH, SHILLI MEHLA,Himachal Pradesh,171209,,,,,,,,,
UNA,2070200102,2015-16,GHS JANKAUR,UNA,KUTHAR KALAN,ABADA BARANA,Himachal Pradesh,174303,,,,,,,,,
UNA,2070200101,2015-16,GPS ABADA BARANA,UNA,KUTHAR KALAN,ABADA BARANA,Himachal Pradesh,174303,,,,ChIJFWic0QHQGjkRcIzza6dlXYU,B,Locality,una,Abada Barana Market,"Una, Himachal Pradesh 174303, India"
UNA,2070200107,2015-16,GMS ABADA BARANA,UNA,KUTHAR KALAN,ABADA BARANA,Himachal Pradesh,174303,,,,,,,,,
HAMIRPUR (H.P.),2060103601,2015-16,GPS ABDHYAL,HAMIRPUR,GPS NALTI,ABDHYAL,Himachal Pradesh,177026,,,,,,,,,
KANGRA,2021000102,2015-16,APHS ABDULLAPUR,KANGRA,ZAMANABAD,ABDULLAPUR,Himachal Pradesh,176001,,,,,,,,,
KANGRA,2021000101,2015-16,GPS ABDULLAPUR,KANGRA,ZAMANABAD,ABDULLAPUR,Himachal Pradesh,176001,,,,,,,,,
SOLAN,2090709401,2015-16,GPS SALAMU,RAMSHAHAR,SAI,ABHARNI,Himachal Pradesh,173205,,,,,,,,,
UNA,2070400101,2015-16,GPS ABHAYPUR,GAGRET-2,BHADERKALI,ABHAYPUR,Himachal Pradesh,177204,,,,,,,,,
UNA,2070400103,2015-16,GMS ABHAYPUR,GAGRET-2,BHADERKALI,ABHAYPUR,Himachal Pradesh,177204,,,,,,,,,
UNA,2070400102,2015-16,GPS DEUNGLA,GAGRET-2,BHADERKALI,ABHAYPUR,Himachal Pradesh,177204,,,,,,,,,
CHAMBA,2010301301,2015-16,GPS ABOHAR,CHAMBA,CHUNGA,ABOHAR,Himachal Pradesh,176314,,,,,,,,,
LAHUL & SPITI,2030300702,2015-16,GMS-ADAT,UDAIPUR,GSSS-TRILOKNATH,ADAT,Himachal Pradesh,175142,,,,,,,,,
LAHUL & SPITI,2030300701,2015-16,GPS- ADAT,UDAIPUR,KISHORI,ADAT,Himachal Pradesh,175142,,,,,,,,,
SHIMLA,2111107601,2015-16,GPS ADDI,NANKHARI,SHOLI,ADDI,Himachal Pradesh,172001,,,,,,,,,
SHIMLA,2111101802,2015-16,GMS ADDU (PADAM),NANKHARI,DHAUNA-KOTDHAR,ADDU,Himachal Pradesh,172021,,,,,,,,,
SHIMLA,2111101801,2015-16,GPS ADDU,NANKHARI,DHAUNA-KOTDHAR,ADDU,Himachal Pradesh,172021,,,,,,,,,
SIRMAUR,2100801501,2015-16,GPS ADHOG,SATAUN,KATHWAR,ADHOG,Himachal Pradesh,173022,,,,,,,,,
KANGRA,2021900101,2015-16,GSSS ADHWANI,RAKKAR,LOWER BHAROLI,ADHWANI,Himachal Pradesh,176036,,,,,,,,,
KANGRA,2021900102,2015-16,GPS LOWER BHAROLI,RAKKAR,BHAROLI KOHALA,ADHWANI,Himachal Pradesh,176036,,,,ChIJDykUztkxGzkRE_bCYz3Xbro,B,Pincode,176036,Government Primary School,"NH 88, Ambotu, Himachal Pradesh 176036, India"
SHIMLA,2110708501,2015-16,GPS ADHIYALA,KOTKHAI,ADHYALA,ADHYALA,Himachal Pradesh,171225,,,,,,,,,
SOLAN,2090413001,2015-16,GPS ADUWAL,NALAGARH,GPS BHOGPUR (C.S),ADUWAL,Himachal Pradesh,174101,,,,,,,,,
SOLAN,2090413002,2015-16,GMS ADUWAL,NALAGARH,NALAGARH (G) C.S.,ADUWAL,Himachal Pradesh,174101,,,,,,,,,
SHIMLA,2110108401,2015-16,GPS ADWANI,CHAUHARA,GAONSARI,ADWANI,Himachal Pradesh,171208,,,,,,,,,
SIRMAUR,2100806101,2015-16,GPS ADWAR,SATAUN,DANDA,ADWAR,Himachal Pradesh,173025,,,,,,,,,
MANDI,2050403801,2015-16,GPS AEHAN,SUNDER NAGAR-2,KAYAN,AEHAN,Himachal Pradesh,175017,,,,,,,,,
SOLAN,2090501501,2015-16,GPS AER,DHUNDAN,DHUNDAN,AER,Himachal Pradesh,173235,,,,,,,,,
KANGRA,2021200102,2015-16,GSSS AERLA,NAGROTA BAGWAN,AERLA,AERLA,Himachal Pradesh,176054,,,,ChIJP2QkqiE2GzkRhab6ws-yY8U,B,Pincode,176054,Government Senior Secondary School,"Baggi - Lagru Rd, Dheru, Himachal Pradesh 176054, India"
KANGRA,2021200101,2015-16,GPS AERLA,NAGROTA BAGWAN,AERLA,AERLA,Himachal Pradesh,176054,,,,,,,,,
KANGRA,2020700102,2015-16,GSSS REY,FATEHPUR,REY KHAS,AGAHAR,Himachal Pradesh,176058,,,,ChIJjVz9mppFGzkR2gmRmIm9yOk,C,City,kangra,Government Senior Secondary School,"Old Kangra, Kangra, Himachal Pradesh 176001, India"
CHAMBA,2011403302,2015-16,GMS AGAHAR,GEHRA,BATOT,AGAHAR,Himachal Pradesh,176311,,,,,,,,,
CHAMBA,2011403301,2015-16,GPS AGAHAR,GEHRA,BELAJ,AGAHAR,Himachal Pradesh,176311,,,,,,,,,
