City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,
ERNAKULAM,32080600703,2015-16,GVHSS E.MARADY,KOOTHATTUKULAM,GVHSS EAST MARADY,MARADY,Kerala,686673,,,,ChIJ-3-Tgt0MCDsR_fMR84C0i2Q,C,City,ernakulam,Government Higher Secondary School,"Arakkakadavu, Vennala, Ernakulam, Kerala 682028, India",
ERNAKULAM,32080600704,2015-16,GLPS KURUKKUNNAPURAM,KOOTHATTUKULAM,GVHSS EAST MARADY,MARADY,Kerala,686673,,,,,,,,,,
ERNAKULAM,32080201101,2015-16,GLPS CHULLY,ANGAMALY,GJBS NADUVATTAM,AYYAMPUZHA,Kerala,683581,,,,,,,,,,
IDUKKI,32090100520,2015-16,LPS CHOORAKKATTANKUDY,ADIMALY,GUPS MACHIPLAVU,MANNAMKANDAM,Kerala,685561,,,,,,,,,,
IDUKKI,32090100521,2015-16,LPS THALANIRAPPANKUDY,ADIMALY,GUPS MACHIPLAVU,MANNAMKANDAM,Kerala,685561,,,,,,,,,,
IDUKKI,32090100522,2015-16,LPS CHATTUPARAKUDY,ADIMALY,GUPS MACHIPLAVU,MANNAMKANDAM,Kerala,685561,,,,,,,,,,
IDUKKI,32090100523,2015-16,LPS CHINNAPARAKUDY,ADIMALY,GHS ADIMALY,MANNAMKANDAM,Kerala,685561,,,,,,,,,,
IDUKKI,32090400257,2015-16,LPS OLAKAYAM,MUNNAR,GLPS MUNNAR,KDH (MUNNAR),Kerala,685612,,,,,,,,,,
IDUKKI,32090400258,2015-16,LPS IRUPPUKAL KUDY,MUNNAR,GLPS MUNNAR,KDH (MUNNAR),Kerala,685612,,,,,,,,,,
IDUKKI,32090400291,2015-16,ITDP STS EDALIAPPARA,MUNNAR,GLPS MUNNAR,KDH (MUNNAR),Kerala,685612,,,,,,,,,,
IDUKKI,32090400259,2015-16,LPS KEEZHEVALAYAMPARA,MUNNAR,GLPS MUNNAR,KDH (MUNNAR),Kerala,685612,,,,,,,,,,
IDUKKI,32090400260,2015-16,LPS KANDATHIKUDY,MUNNAR,GLPS MUNNAR,KDH (MUNNAR),Kerala,685588,,,,,,,,,,
THRISSUR,32070400202,2015-16,GURUSREE VNEMS-PALISSERY,CHERPU,GVHSS CHERPU,AVINISSERY,Kerala,680027,,,,,,,,,,
THRISSUR,32070400301,2015-16,AUPS PERINCHERY,CHERPU,AUPS PERINCHERY,AVINISSERY,Kerala,680313,,,,,,,,,,
THRISSUR,32070400302,2015-16,ST JOSEPH HS AVINISSERY,CHERPU,AUPS PERINCHERY,AVINISSERY,Kerala,680306,,,,ChIJT6eDh0zwpzsRMt5NldIDXbs,A,VILLAGE_NAME,avinissery,"St.Joseph's Higher Secondary School, Avinissery","Avinissery, Thrissur, Kerala, India",
THRISSUR,32070400401,2015-16,LFLPS PERINCHERY,CHERPU,ST. ROCH'S CALPS PERUMPIL,CHERPU,Kerala,680306,,,,ChIJm6ZbP6vxpzsREMke58wGP7A,B,Pincode,680306,Perinchery,"Chevoor, Kerala 680306, India",
THRISSUR,32070400801,2015-16,CNN BHS CHERPU,CHERPU,GVHSS CHERPU,CHEVOOR,Kerala,680561,,,,ChIJMbICThDxpzsR49JIcJbgUxc,B,Locality,cherpu,CNN BHS School,"Cherpu Thriprayar Rd, Cherpu, Thrissur, Kerala 680561, India",
