City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
LAKSHADWEEP,31010200204,2015-16,JNSSS KADMAT,AMINI,KADMAT CRC,KADMAT,Lakshadweep,682556,,,,ChIJuTmq2b4hnzsRtYc3xTSdozQ,A,VILLAGE_NAME,kadmat,Kadmat Island,"Kadmat Island, Lakshadweep"
LAKSHADWEEP,31010200205,2015-16,GJBS (N) KADMAT,AMINI,KADMAT CRC,KADMAT,Lakshadweep,682556,,,,,,,,,
LAKSHADWEEP,31010200301,2015-16,GJBS (S) KILTAN,AMINI,KILTAN CRC,KILTAN,Lakshadweep,682558,,,,,,,,,
LAKSHADWEEP,31010200302,2015-16,SBS KILTAN,AMINI,KILTAN CRC,KILTAN,Lakshadweep,982558,,,,,,,,,
LAKSHADWEEP,31010200303,2015-16,GSSS KILTAN,AMINI,KILTAN CRC,KILTAN,Lakshadweep,682558,,,,ChIJpQpb9w80nzsRxF400DlgL7s,A,VILLAGE_NAME,kiltan,Kilthan Island,"Kilthan Island, Kiltan Island, Lakshadweep"
LAKSHADWEEP,31010200304,2015-16,GJBS (N) KILTAN,AMINI,KILTAN CRC,KILTAN,Lakshadweep,682558,,,,,,,,,
LAKSHADWEEP,31010200401,2015-16,GJBS CHETLAT,AMINI,CHETLAT CRC,CHETLAT,Lakshadweep,682554,,,,,,,,,
LAKSHADWEEP,31010200402,2015-16,GSSS CHETLAT,AMINI,CHETLAT CRC,CHETLAT,Lakshadweep,682554,,,,,,,,,
LAKSHADWEEP,31010300101,2015-16,SBS (K) ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010300102,2015-16,GJBS (M) ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010300103,2015-16,GJBS (CHE) ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010300104,2015-16,GJBS (C) ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010300105,2015-16,GGHS ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010300106,2015-16,MGSSS ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,ChIJIehlhgMyoDsRlIjuYLGgeBQ,A,VILLAGE_NAME,andrott,MGSSS ANDROTT,"Andrott, 682551, India"
LAKSHADWEEP,31010300107,2015-16,GSBS (P) ANDROTT,ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010300108,2015-16,GJBS (MOOLA),ANDROTT,ANDROTT CRC,ANDROTT,Lakshadweep,682551,,,,,,,,,
LAKSHADWEEP,31010200201,2015-16,SBS KADMAT,AMINI,KADMAT CRC,KADMAT,Lakshadweep,682556,,,,,,,,,
LAKSHADWEEP,31010200202,2015-16,GJBS (S) KADMAT,AMINI,KADMAT CRC,KADMAT,Lakshadweep,682556,,,,,,,,,
LAKSHADWEEP,31010200203,2015-16,GJBS (C) KADMAT,AMINI,KADMAT CRC,KADMAT,Lakshadweep,682556,,,,,,,,,
LAKSHADWEEP,31010300201,2015-16,GJBS KALPENI,ANDROTT,KALPENI CRC,KALPENI,Lakshadweep,682557,,,,,,,,,
LAKSHADWEEP,31010300202,2015-16,GSBS KALPENI,ANDROTT,KALPENI CRC,KALPENI,Lakshadweep,682557,,,,,,,,,
LAKSHADWEEP,31010300203,2015-16,GSSS KALPENI,ANDROTT,KALPENI CRC,KALPENI,Lakshadweep,682557,,,,,,,,,
LAKSHADWEEP,31010300301,2015-16,GJBS MINICOY,ANDROTT,MINICOY CRC,MINICOY,Lakshadweep,682559,,,,,,,,,
LAKSHADWEEP,31010300302,2015-16,GSBS MINICOY,ANDROTT,MINICOY CRC,MINICOY,Lakshadweep,682559,,,,,,,,,
LAKSHADWEEP,31010300303,2015-16,GSSS MINICOY,ANDROTT,MINICOY CRC,MINICOY,Lakshadweep,682559,,,,,,,,,
