City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
SENAPATI,14010318801,2015-16,CHANINGPOKPI JR. H/S,SAIKUL,KAMUCHING JR. H/S,CHANINGPOKPI,Manipur,795149,,,,,,,,,
SENAPATI,14010205801,2015-16,HARAOTHEL UJB/S,SAITU,LEIMAKHONG UJB SCHOOL,HARAOTHEL,Manipur,795002,,,,,,,,,
SENAPATI,14010205701,2015-16,LEILON PHAIJANG JR. H/S,SAITU,LEIMAKHONG UJB SCHOOL,LEILON PHAIJANG,Manipur,795002,,,,,,,,,
TAMENGLONG,14020405201,2015-16,NUNGNANG JR. HIGH SCHOOL,NUNGBA,RENGPANG,NUNGNANG ,Manipur,795159,,,,,,,,,
TAMENGLONG,14020202403,2015-16,TOUSEM ASHRAM SCHOOL,TOUSEM,MANDU,TOUSEM,Manipur,795141,,,,,,,,,
SENAPATI,14010218601,2015-16,L. KHOMUNOM UJB/S,SAITU,SAITU JR. H/S,L. KHOMUNOM,Manipur,795107,,,,,,,,,
TAMENGLONG,14020202402,2015-16,TOUSEM HIGH SCHOOL,TOUSEM,MANDU,TOUSEM,Manipur,795141,,,,ChIJkztIdYgjTzcRcVqQLAgsRu8,B,Pincode,795141,United Builders' School,"Tamenglong, Manipur 795141, India"
SENAPATI,14010213201,2015-16,CHAROIPANDONGBA UJB/S,SAITU,NEW KEITHELMANBI LP/S,CHAROIPANDONGBA KABUI,Manipur,795113,,,,,,,,,
SENAPATI,14010118701,2015-16,GOOD SHEPHARD,KANGPOKPI,KEITHELMANBI HIGH SCHOOL,JANGNOM,Manipur,795122,,,,,,,,,
SENAPATI,14010500101,2015-16,OKLONG  H/S,TADUBI,OKLONG JR HIGH SCHOOL,OKLONG,Manipur,795106,,,,,,,,,
SENAPATI,14010115301,2015-16,KALAPAHAR JR. H/S,KANGPOKPI,KEITHELMANBI HIGH SCHOOL,KALAPAHAR,Manipur,795122,,,,ChIJKd2qsUnESDcRvnM7sq6ERSw,A,VILLAGE_NAME,kalapahar,Galaxy English Jr. High School,"Kalapahar, Manipur 795122, India"
