City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
RI BHOI,17050214105,2015-16,UMSNING DISTRICT PRESBYTERIAN SECONDARY SCHOOL,UMSNING,UMSNING CRC,NONGTHYMMAI,Meghalaya,793105,,,,,,,,,
RI BHOI,17050237101,2015-16,RCLP SCHOOL MADAN UMRNONG,UMSNING,RAITONG CRC,MADAN UMRNONG,Meghalaya,793105,,,,,,,,,
RI BHOI,17050214013,2015-16,GORKHA PATHSHALA UPS,UMSNING,UMSNING CRC,UMSNING (PROPER),Meghalaya,793105,,,,ChIJzxX9rMuGWjcRbGIOVZjhMXM,B,Locality,umsning,Gorkha Pathsala Secondary School,"Umsning, Meghalaya 793105, India"
RI BHOI,17050214201,2015-16,ST. MICHAEL'S R.C.L.P. SCHOOL,UMSNING,UMSNING CRC,LUMROHMAN,Meghalaya,793105,,,,ChIJh0IynDSBWjcRll_bJ8h-MtY,B,Locality,umsning,St. Michael's Higher Secondary School,"GS Rd, Umsning, Meghalaya 793105, India"
RI BHOI,17050214502,2015-16,NONGBAH MYRDON SCHOOL,UMSNING,UMTASSOR CRC,MYRDON NONGBAH,Meghalaya,793105,,,,,,,,,
RI BHOI,17050226601,2015-16,UMLATAR GOVT. LP SCHOOL,UMSNING,MAWHATI CRC,UMLATAR,Meghalaya,793105,,,,,,,,,
RI BHOI,17050214011,2015-16,EDEN ACADEMY UP. SCHOOL,UMSNING,UMSNING CRC,UMSNING (PROPER),Meghalaya,793105,,,,,,,,,
RI BHOI,17050214204,2015-16,ST MICHAELS SCONDARY SCHOOL,UMSNING,UMSNING CRC,LUMROHMAN,Meghalaya,793105,,,,ChIJh0IynDSBWjcRll_bJ8h-MtY,B,Locality,umsning,St. Michael's Higher Secondary School,"GS Rd, Umsning, Meghalaya 793105, India"
RI BHOI,17050214504,2015-16,NONGBAH MRYDON SECONDARY SCHOOL,UMSNING,UMTASSOR CRC,MYRDON NONGBAH,Meghalaya,793105,,,,,,,,,
RI BHOI,17050121303,2015-16,UMRANG NONGBAH SECONDARY SCHOOL,UMLING,DIWON CRC,UMRANG NONGBAH,Meghalaya,793102,,,,,,,,,
RI BHOI,17050121702,2015-16,UMKON RCLP SCHOOL,UMLING,DIWON CRC,UMKON,Meghalaya,793102,,,,,,,,,
RI BHOI,17050221601,2015-16,UMLAITENG GOVT LP SCHOOL,UMSNING,MAWHATI CRC,UMLAITENG,Meghalaya,793105,,,,,,,,,
