SCHOOL CODE,NAME,AFFILIATION_NO.,STREET ADDRESS,STATE,CITY,PINCODE,GENDER,CATEGORIES 1,CATEGORIES 2,TYPES 1,TYPES 2,NAME OF THE HEAD,PHONE 1,PHONE 2,PHONE 3,EMAIL_ID,WEBSITE,YEAR_OF_FOUNDATION,DATE_OF_OPENING,STATUS_OF_AFFILIATION,AFFILIATION_FROM,AFFILIATION_TO,NAME_OF_TRUST_SOCIETY_MANAGING_COMMITTEE,LOCALITY,COUNTRY,PHONE 4,PHONE 5,IMAGE URL,WORKING HOURS,DETAILS,SERVICES,FAX NO,PROFESSIONAL QUALIFICATIONS,NUMBER OF EXPERIENCE YEARS,ADMINISTRATIVE,TEACHING,extra,SOURCE URL,PERSON TO CONTACT,PLACE_ID,SOURCE
,HOMERTON GRAMMAR SCHOOL,530064,SECTOR - 21 A BARKHAL ROAD FARIDABAD HARYANA,HARYANA,FARIDABAD,121002,,,Provisional,CBSE,,MR. KULDIP SINGH,"288734
                        ,",0,297,kmps_bhiwani@rediffmail.com,http://www.homertongrammar.com,1983,4/1/2008 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,AMRUT GURDEV EDUCATION SOCIETY,Sector 21A,India,(0129) 2288734,9311955534,http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Edited%20School%20Foto%20-%20Copy-feb190a9-9c58-4a05-9be8-836d86135647.JPG   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Edited%20School%20Foto%20-%20Copy-feb190a9-9c58-4a05-9be8-836d86135647.JPG   ,,,,,,,,,,,Rajtheep Singh,ChIJ0dBlncLdDDkRHpI8rD2AP9Y,SOURCE 7
,GURBACHAN SINGH SONDHI GIRLS SCHOOL,2430049,65  PRATAPADITYA ROAD CALCUTTA,WEST BENGAL,CALCUTTA,700026,,,Provisional,CBSE,,Mrs. Headmistress Manween Rajpal,"24665406
                        ,",,24002759,tajbengal_hardeeps@yahoo.co.in,http://www.gssschool.com,1979,4/1/2005 0:00,Secondary School,1/4/2014,31/3/2019,GURBACHAN SINGH TRUST,Kalighat,India,(033) 44505002,9163433497,,Monday - Saturday: 10 AM - 4.30 PM,,,,,,,,,,,ChIJW9699kWc-DkRfC3UExqfrAk,SOURCE 7
,ST. JOHN'S ENGLISH SCHOOL,1930005,SECOND CROSS STREET NEAR C P W D QTRS. BESANT NAGAR CHENNAI TAMIL NADU,TAMILNADU,CHENNAI,600090,,,Provisional,CBSE,,R KISHORE KUMAR,"72840
                        ,",4913215,4939679,stjohns@md3.vsnl.net.in,,1981,6/2/1997 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,ST JOHN'S EDUCATIONAL TRUST,Besant Nagar,India,(044) 24917411, 044 - 24917411,,Monday - Sunday : 24 Hrs,,,,,,,,,,Poornima,ChIJbVI0sPpnUjoRhuMoeJhUoqc,SOURCE 7
PU033,All Saints Convent School,,   Catholic Centre Ajnala  Amritsar-143 102,Punjab,Amritsar,143102,Co-ed. ,Day,Permanent,ICSE,,Sr. Divya  Divya , 01858-206284,,, allsaintsajnala@gmail.com , pu033cisce.org ,,,,,,,,India,(01858) 206284,,,,,,,,,,,,,Rev Annie,ChIJv2xLKSRDGTkRxEhAQXP7ZQI,SOURCE 5
WB025,St. Mary's Orphanage And Day School,,   103  Dum Dum Road Kolkata  NA-700 030,West Bengal,NA,700030,Boys ,D/R,Permanent,ICSE,ISC,Mr. Joseph  Dias , 033-25482060,,, smodumdum@hotmail.com , wb025cisce.org ,,,,,,,Ghughudanga,India,(033) 25482060,,,,,,,,,,,,,S. Ghosh,ChIJw0inCPud-DkRukq3wOwl7DY,SOURCE 5
WB134,St. Paul's K.G. & Day School,,   16 / 1 A  Ram Kanto Bose Street Kolkata  NA-700 003,West Bengal,NA,700003,Co-ed. ,Day,Provisional,ICSE,ISC,Mr. Saurab George  Singh , 033-25556803, 033-25550580 ,, stpaulskganddayschool@gmail.com , wb134cisce.org ,,,,,,,Shyam Bazaar,India,(033) 44503182,,,Monday - Saturday: 10 AM - 6 PM,,,033-25550580,,,,,,,Shain Gupth,ChIJnxjRNS52AjoRcHRscdKSWAo,SOURCE 5
,JAWAHAR NAVODAYA VIDYALAYA,2840001,CANACONA SOUTH GOA GOA,GOA,South Goa,403702,,,Provisional,CBSE,,BALASUBRAMANYA,"83099
                        ,",,,jnvcansg@goatelecom.com,http://www.jnvcanaconasg.gov.in/,1987,,Senior Secondary,1/4/2003,31/ 3/ 2018,NAVODAYA VIDYALAYA SAMITI,,India,(0832) 2374228, 0832 - 2644181,,,,,,,,,,,,,ChIJNwTAX8BavjsRm7oFeQNdvLA,SOURCE 7
,CARMEL CONVENT SCHOOL,530086,SECTOR 7 D FARIDABAD HARYANA,HARYANA,FARIDABAD,121006,,,Provisional,CBSE,,Sr. Theresilda,"2580918
                        ,",242240,,carmelconvent_2004@yahoo.co.in,,1971,3/25/1999 0:00,Senior Secondary,1/4/2016,31/ 3/ 2019,CARMELITE SISTERS OF ST TERESA,,India,(0129) 2243344, 07633 - 242240,,,,,07633-,,,,,,http://www.thelearningpoint.net/home/school-listings/cbse-20/CARMEL-CONVENT-SCHOOL-SECTOR-7-D-FARIDABAD-HARYANA-530086,,ChIJezVer4fbDDkRNED0zd9yAL4,SOURCE 7
,BGS INTERNATIONAL RESIDENTIAL SCHOOL,830058,NITHYANANDA NAGARA BRANCH K GOLLAHALLI POST BANGALORE SOUTH KARNATAKA,KARNATAKA,BANGALORE,560060,,,Provisional,CBSE,,Mr. Sheila J,"28437582
                        ,
                        8437582",8437582,6620389,bgsirs@123india.com,www.bgsirs.net,1986,6/12/1992 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,kloster st trudpert society,Kengeri,India,Jnanaganga International School 2 ratings ,9901515108,,,,,,,,,,,,,ChIJkQKu_ElHrjsRLddXOSCZcx8,SOURCE 7
,ANNIE BESANT SCHOOL,1030318,48-49  PRECANCO COLONY  ANNAPURNA ROAD INDORE,MADHYA PRADESH,INDORE,452009,,,Provisional,CBSE,,SANGITA SOOD,"2762605
                        ,",,,,,1946,7/1/1987 0:00,Senior Secondary,1/4/2010,31/ 3/ 2015,NARAYAN DAS YADAV SHIKSHA PRASAD SAMITI,,India,(0731) 2450751,,,,,,,,,,,,,,ChIJvaN6m078YjkRMFUbh-H32-c,SOURCE 7
